SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
145,NIFRA,Nepal Infrastructure Bank Limited,36.86,189.00,189.00,185.00,185.00,185.60,"38,424.00",185.70,"7,131,504.90",361,-0.7,4.0,-0.38,2.16,-0.32,220.73,247.85,435.00,179.90,2022-12-07
145,NIFRA,Nepal Infrastructure Bank Limited,36.86,189.00,189.00,185.00,185.00,185.60,"38,424.00",185.70,"7,131,504.90",361,-0.7,4.0,-0.38,2.16,-0.32,220.73,247.85,435.00,179.90,2022-12-09
148,NIFRA,Nepal Infrastructure Bank Limited,38.27,188.00,188.00,183.00,183.00,183.73,"44,083.00",185.00,"8,099,430.50",455,-2.0,5.0,-1.08,2.73,-0.4,-,-,435.00,179.90,2022-12-11
145,NIFRA,Nepal Infrastructure Bank Limited,37.49,182.50,184.50,181.00,184.50,182.93,"33,717.00",183.00,"6,167,925.50",425,1.5,3.5,0.82,1.93,0.85,219.60,246.12,435.00,179.90,2022-12-12
144,NIFRA,Nepal Infrastructure Bank Limited,36.23,184.50,186.00,182.50,184.00,184.60,"26,925.00",184.50,"4,970,319.80",362,-0.5,3.5,-0.27,1.92,-0.33,219.12,245.18,435.00,179.90,2022-12-13
145,NIFRA,Nepal Infrastructure Bank Limited,37.17,184.00,187.60,183.60,186.00,185.28,"21,664.00",184.00,"4,013,956.40",333,2.0,4.0,1.09,2.18,0.39,218.72,244.25,435.00,179.90,2022-12-14
151,NIFRA,Nepal Infrastructure Bank Limited,42.57,186.50,186.50,183.00,183.10,183.76,"24,105.00",186.00,"4,429,579.70",333,-2.9,3.5,-1.56,1.91,-0.36,218.24,243.30,435.00,179.90,2022-12-15
145,NIFRA,Nepal Infrastructure Bank Limited,38.61,183.00,183.20,180.00,181.10,181.54,"50,448.00",183.10,"9,158,443.00",512,-2.0,3.2,-1.09,1.78,-0.24,217.78,242.38,435.00,179.90,2022-12-18
146,NIFRA,Nepal Infrastructure Bank Limited,35.08,181.00,182.00,179.30,180.50,180.56,"27,364.00",181.10,"4,940,918.00",412,-0.6,2.7,-0.33,1.51,-0.03,217.39,241.49,435.00,179.30,2022-12-19
149,NIFRA,Nepal Infrastructure Bank Limited,35.08,176.90,181.50,176.90,180.10,180.45,"31,681.00",180.50,"5,716,773.30",474,-0.4,4.6,-0.22,2.6,-0.19,216.95,240.65,435.00,176.90,2022-12-20
147,NIFRA,Nepal Infrastructure Bank Limited,34.49,183.00,183.70,179.00,179.60,179.99,"30,971.00",180.10,"5,574,571.90",422,-0.5,4.7,-0.28,2.63,-0.22,216.38,239.83,435.00,176.90,2022-12-21
142,NIFRA,Nepal Infrastructure Bank Limited,34.9,179.00,181.00,178.00,179.00,178.89,"26,551.00",179.60,"4,749,830.80",360,-0.6,3.0,-0.33,1.69,0.06,215.86,239.01,435.00,176.90,2022-12-22
144,NIFRA,Nepal Infrastructure Bank Limited,35.23,180.00,191.00,180.00,186.70,185.39,"73,563.00",179.00,"13,637,910.70",667,7.7,11.0,4.3,6.11,0.7,215.42,238.18,435.00,176.90,2022-12-26
152,NIFRA,Nepal Infrastructure Bank Limited,49.33,190.00,205.30,190.00,204.50,201.41,"211,014.00",186.70,"42,499,635.30","1,706",17.8,15.30,9.53,8.05,1.51,215.10,237.47,435.00,176.90,2022-12-27
149,NIFRA,Nepal Infrastructure Bank Limited,54.84,208.50,208.50,199.00,199.50,202.27,"135,358.00",204.50,"27,379,301.80","1,115",-5.0,9.5,-2.44,4.77,-1.39,214.64,236.78,435.00,176.90,2022-12-28
150,NIFRA,Nepal Infrastructure Bank Limited,54.84,202.00,210.00,196.00,209.70,205.28,"138,915.00",199.50,"28,516,842.60",930,10.2,14.0,5.11,7.14,2.11,214.30,236.14,435.00,176.90,2022-12-29
154,NIFRA,Nepal Infrastructure Bank Limited,54.27,211.00,217.10,205.00,214.00,213.04,"162,327.00",209.70,"34,582,641.10","1,100",4.3,12.10,2.05,5.9,0.45,213.90,235.57,435.00,176.90,2023-01-01
146,NIFRA,Nepal Infrastructure Bank Limited,54.27,214.00,217.90,208.00,213.00,212.58,"83,694.00",214.00,"17,791,253.50",680,-1.0,9.9,-0.47,4.76,0.2,213.52,234.99,435.00,176.90,2023-01-02
150,NIFRA,Nepal Infrastructure Bank Limited,46.09,213.10,214.00,205.00,208.00,209.31,"81,379.00",213.00,"17,033,830.70",751,-5.0,9.0,-2.35,4.39,-0.63,213.20,234.34,435.00,176.90,2023-01-03
150,NIFRA,Nepal Infrastructure Bank Limited,51.31,208.00,215.00,206.10,213.20,210.82,"106,398.00",208.00,"22,430,983.40",869,5.2,8.9,2.5,4.32,1.12,212.89,233.76,435.00,176.90,2023-01-04
148,NIFRA,Nepal Infrastructure Bank Limited,52.01,213.00,219.00,210.10,217.90,215.31,"154,372.00",213.20,"33,238,212.50","1,076",4.7,8.9,2.2,4.24,1.19,212.65,233.23,435.00,176.90,2023-01-05
151,NIFRA,Nepal Infrastructure Bank Limited,53.21,218.00,239.60,213.30,233.00,229.50,"283,680.00",217.90,"65,103,871.80","1,659",15.10,26.30,6.93,12.33,1.5,-,-,435.00,176.90,2023-01-08
149,NIFRA,Nepal Infrastructure Bank Limited,59.81,234.00,241.90,231.00,241.80,238.19,"200,620.00",233.00,"47,785,489.80","1,345",8.8,10.9,3.78,4.72,1.49,212.67,232.39,435.00,176.90,2023-01-09
145,NIFRA,Nepal Infrastructure Bank Limited,57.71,244.00,252.00,229.00,236.00,242.82,"282,318.00",241.80,"68,553,485.90","1,907",-5.8,23.0,-2.4,10.04,-2.89,212.69,232.03,435.00,176.90,2023-01-10
143,NIFRA,Nepal Infrastructure Bank Limited,57.74,240.00,245.00,225.10,228.00,231.68,"247,823.00",236.00,"57,416,127.50","1,522",-8.0,19.9,-3.39,8.84,-1.61,212.56,231.62,435.00,176.90,2023-01-12
