SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
165,PFL,Pokhara Finance Limited,21.84,332.90,335.00,331.10,334.80,332.59,"1,845.00",339.60,"613,621.10",25,-4.8,3.9,-1.41,1.18,0.66,361.61,378.23,630.00,290.00,2022-12-07
165,PFL,Pokhara Finance Limited,21.84,332.90,335.00,331.10,334.80,332.59,"1,845.00",339.60,"613,621.10",25,-4.8,3.9,-1.41,1.18,0.66,361.61,378.23,630.00,290.00,2022-12-09
168,PFL,Pokhara Finance Limited,23.25,328.30,332.00,326.10,330.00,328.83,"5,156.00",334.80,"1,695,430.80",50,-4.8,5.9,-1.43,1.81,0.36,-,-,630.00,290.00,2022-12-11
166,PFL,Pokhara Finance Limited,31.91,332.00,335.00,329.00,334.50,332.51,"5,909.00",330.00,"1,964,815.90",29,4.5,6.0,1.36,1.82,0.59,361.52,376.23,630.00,290.00,2022-12-12
164,PFL,Pokhara Finance Limited,31.75,334.50,336.00,330.00,331.00,332.65,"2,435.00",334.50,"809,995.10",25,-3.5,6.0,-1.05,1.82,-0.5,361.57,375.28,630.00,290.00,2022-12-13
164,PFL,Pokhara Finance Limited,27.33,326.00,337.00,326.00,331.00,330.95,"1,450.00",331.00,"479,882.50",30,0.0,11.0,0.0,3.37,0.01,361.75,374.24,630.00,290.00,2022-12-14
171,PFL,Pokhara Finance Limited,23.14,336.00,337.60,328.10,328.20,328.96,"2,458.00",331.00,"808,592.30",31,-2.8,9.5,-0.85,2.9,-0.23,361.82,373.20,630.00,290.00,2022-12-15
166,PFL,Pokhara Finance Limited,24.34,325.00,325.50,318.60,323.00,320.77,"4,428.00",328.20,"1,420,374.60",64,-5.2,6.9,-1.58,2.17,0.69,361.94,372.18,630.00,290.00,2022-12-18
166,PFL,Pokhara Finance Limited,25.4,320.00,326.40,320.00,321.10,323.44,"2,283.00",323.00,"738,404.80",24,-1.9,6.4,-0.59,2.0,-0.73,362.14,371.21,630.00,290.00,2022-12-19
170,PFL,Pokhara Finance Limited,25.4,315.00,322.00,314.70,318.50,319.27,"3,759.00",321.10,"1,200,131.40",55,-2.6,7.3,-0.81,2.32,-0.24,362.21,370.29,630.00,290.00,2022-12-20
167,PFL,Pokhara Finance Limited,32.95,319.00,324.00,314.30,320.00,317.37,"1,957.00",318.50,"621,098.00",25,1.5,9.7,0.47,3.09,0.82,362.04,369.46,630.00,290.00,2022-12-21
163,PFL,Pokhara Finance Limited,30.19,315.00,325.00,315.00,320.00,317.66,"2,817.00",320.00,"894,841.80",29,0.0,10.0,0.0,3.17,0.73,361.93,368.62,630.00,290.00,2022-12-22
164,PFL,Pokhara Finance Limited,35.22,326.30,339.60,326.30,339.60,335.79,"8,851.00",320.00,"2,972,072.20",76,19.6,13.3,6.13,4.08,1.12,362.03,367.79,630.00,290.00,2022-12-26
174,PFL,Pokhara Finance Limited,47.51,346.20,363.00,345.00,354.00,354.59,"20,596.00",339.60,"7,303,162.90",155,14.4,18.00,4.24,5.22,-0.17,362.14,367.12,630.00,290.00,2022-12-27
170,PFL,Pokhara Finance Limited,53.12,349.00,366.00,347.00,350.00,353.78,"9,730.00",354.00,"3,442,314.00",94,-4.0,19.0,-1.13,5.48,-1.08,362.04,366.51,630.00,290.00,2022-12-28
171,PFL,Pokhara Finance Limited,53.12,352.50,383.00,345.00,378.00,368.72,"40,167.00",350.00,"14,810,488.50",208,28.0,38.0,8.0,11.01,2.45,362.16,366.06,630.00,290.00,2022-12-29
175,PFL,Pokhara Finance Limited,56.35,385.50,406.70,371.50,385.00,393.92,"51,841.00",378.00,"20,421,359.20",288,7.0,35.20,1.85,9.48,-2.32,362.20,365.72,630.00,290.00,2023-01-01
167,PFL,Pokhara Finance Limited,56.35,384.00,393.00,379.00,388.00,390.26,"16,958.00",385.00,"6,618,057.30",149,3.0,14.0,0.78,3.69,-0.58,362.27,365.47,630.00,290.00,2023-01-02
172,PFL,Pokhara Finance Limited,53.31,374.00,387.50,371.00,371.00,376.80,"11,473.00",373.08,"4,323,039.60",92,-2.08,16.5,-0.56,4.45,-1.56,362.35,365.06,630.00,290.00,2023-01-03
171,PFL,Pokhara Finance Limited,55.39,375.00,393.00,365.00,393.00,385.19,"13,902.00",371.00,"5,354,860.70",101,22.0,28.0,5.93,7.67,1.99,362.54,364.84,630.00,290.00,2023-01-04
170,PFL,Pokhara Finance Limited,53.43,400.00,410.00,390.00,397.00,402.47,"34,104.00",393.00,"13,725,762.40",207,4.0,20.0,1.02,5.13,-1.38,362.78,364.71,630.00,290.00,2023-01-05
172,PFL,Pokhara Finance Limited,54.63,397.00,413.00,391.10,402.00,403.35,"15,764.00",397.00,"6,358,454.20",130,5.00,21.90,1.26,5.6,-0.34,-,-,630.00,290.00,2023-01-08
169,PFL,Pokhara Finance Limited,60.61,409.00,425.00,394.00,425.00,413.03,"28,060.00",402.00,"11,589,493.80",177,23.0,31.0,5.72,7.87,2.82,363.96,364.69,630.00,290.00,2023-01-09
167,PFL,Pokhara Finance Limited,57.31,433.50,435.00,390.00,398.00,415.42,"52,867.00",425.00,"21,962,228.50",389,-27.0,45.0,-6.35,11.54,-4.38,364.50,364.70,630.00,290.00,2023-01-10
164,PFL,Pokhara Finance Limited,57.33,405.90,418.00,382.00,386.00,399.03,"34,725.00",398.00,"13,856,475.50",292,-12.0,36.0,-3.02,9.42,-3.38,364.75,364.64,630.00,290.00,2023-01-12
165,PFL,Pokhara Finance Limited,50.58,393.70,404.00,378.50,395.10,395.66,"20,046.00",386.00,"7,931,498.00",148,9.1,25.5,2.36,6.74,-0.14,365.02,364.72,630.00,290.00,2023-01-17
162,PFL,Pokhara Finance Limited,50.33,403.00,410.00,385.10,387.00,398.10,"15,389.00",395.10,"6,126,331.30",135,-8.1,24.9,-2.05,6.47,-2.87,365.29,364.76,630.00,290.00,2023-01-18
161,PFL,Pokhara Finance Limited,46.55,380.00,408.00,380.00,408.00,389.77,"9,550.00",387.00,"3,722,328.60",93,21.0,28.0,5.43,7.37,4.47,365.73,364.70,630.00,290.00,2023-01-19
168,PFL,Pokhara Finance Limited,48.89,400.00,425.00,392.00,415.00,416.71,"82,017.00",408.00,"34,177,133.60",371,7.0,33.0,1.72,8.42,-0.41,366.20,364.76,630.00,290.00,2023-01-23
161,PFL,Pokhara Finance Limited,57.64,415.00,445.00,410.10,438.00,417.75,"42,439.00",415.00,"17,728,949.10",251,23.0,34.9,5.54,8.51,4.62,366.72,364.95,630.00,290.00,2023-01-24
168,PFL,Pokhara Finance Limited,52.95,430.00,441.00,428.20,430.00,435.07,"21,467.00",438.00,"9,339,616.10",179,-8.0,12.8,-1.83,2.99,-1.18,367.09,365.10,630.00,290.00,2023-01-25
163,PFL,Pokhara Finance Limited,51.33,438.60,446.00,411.60,417.20,420.72,"14,112.00",430.00,"5,937,163.20",124,-12.8,34.4,-2.98,8.36,-0.84,367.40,365.20,630.00,290.00,2023-01-26
172,PFL,Pokhara Finance Limited,48.9,419.00,425.00,410.00,412.60,416.55,"30,234.00",417.20,"12,593,931.50",162,-4.6,15.0,-1.1,3.66,-0.96,367.75,365.34,630.00,290.00,2023-01-29
165,PFL,Pokhara Finance Limited,49.56,406.50,410.00,394.00,395.00,400.61,"24,474.00",412.60,"9,804,527.20",167,-17.6,16.0,-4.27,4.06,-1.42,367.77,365.44,630.00,290.00,2023-01-30
168,PFL,Pokhara Finance Limited,42.62,391.00,420.00,391.00,393.60,397.56,"12,843.00",395.00,"5,105,814.10",114,-1.4,29.0,-0.35,7.42,-1.01,367.46,365.57,630.00,290.00,2023-01-31
167,PFL,Pokhara Finance Limited,38.39,400.00,405.00,397.00,399.90,402.27,"11,454.00",393.60,"4,607,552.60",104,6.3,8.0,1.6,2.02,-0.59,367.38,365.65,625.00,290.00,2023-02-01
167,PFL,Pokhara Finance Limited,40.02,393.00,404.90,392.00,392.00,397.12,"8,063.00",399.90,"3,202,015.90",72,-7.9,12.9,-1.98,3.29,-1.31,367.05,365.69,620.00,290.00,2023-02-02
168,PFL,Pokhara Finance Limited,59.76,395.00,431.20,395.00,425.30,419.98,"91,947.00",392.00,"38,616,023.70",540,33.3,36.2,8.49,9.16,1.25,366.83,365.82,603.00,290.00,2023-02-05
168,PFL,Pokhara Finance Limited,56.81,430.00,453.60,430.00,439.90,439.66,"78,194.00",436.10,"34,378,536.50",519,3.8,23.6,0.87,5.49,0.06,366.57,366.03,603.00,290.00,2023-02-07
167,PFL,Pokhara Finance Limited,60.39,419.80,433.80,417.00,424.00,422.21,"17,367.00",418.00,"7,332,600.60",149,6.0,16.8,1.44,4.03,0.42,366.06,366.29,580.00,290.00,2023-02-09
163,PFL,Pokhara Finance Limited,32.97,416.10,416.50,405.80,408.00,411.12,"20,566.00",424.00,"8,455,184.50",160,-16.0,10.7,-3.77,2.64,-0.77,365.67,366.39,561.00,290.00,2023-02-12
166,PFL,Pokhara Finance Limited,33.46,408.00,411.00,395.00,400.00,399.01,"33,459.00",408.00,"13,350,428.70",229,-8.00,16.0,-1.96,4.05,0.25,365.32,366.50,561.00,290.00,2023-02-14
165,PFL,Pokhara Finance Limited,29.32,398.00,402.90,390.00,392.00,394.42,"7,325.00",396.40,"2,889,098.00",91,-4.40,12.90,-1.11,3.31,-0.62,364.79,366.72,561.00,290.00,2023-02-16
167,PFL,Pokhara Finance Limited,29.17,386.00,394.00,373.00,377.00,380.34,"21,190.00",392.00,"8,059,403.70",174,-15.0,21.0,-3.83,5.63,-0.89,364.48,366.69,553.80,290.00,2023-02-20
177,PFL,Pokhara Finance Limited,30.65,384.50,400.00,383.50,389.00,391.25,"13,873.00",377.00,"5,427,773.40",114,12.0,16.5,3.18,4.3,-0.58,364.47,366.73,553.80,290.00,2023-02-22
169,PFL,Pokhara Finance Limited,29.4,383.00,389.60,376.00,380.50,382.34,"12,675.00",389.00,"4,846,217.30",119,-8.5,13.6,-2.19,3.62,-0.48,364.37,366.74,553.80,290.00,2023-02-23
168,PFL,Pokhara Finance Limited,36.78,374.00,385.00,363.00,384.00,371.86,"12,583.00",380.50,"4,679,096.00",118,3.5,22.0,0.92,6.06,3.16,364.31,366.79,534.00,290.00,2023-02-26
170,PFL,Pokhara Finance Limited,30.88,380.00,388.00,376.00,377.00,381.82,"7,509.00",383.10,"2,867,096.20",66,-6.1,12.0,-1.59,3.19,-1.28,364.14,366.94,534.00,290.00,2023-02-28
166,PFL,Pokhara Finance Limited,35.5,379.50,385.00,378.00,378.00,381.82,"6,096.00",377.00,"2,327,568.40",63,1.00,7.00,0.27,1.85,-1.01,364.04,367.01,534.00,290.00,2023-03-01
166,PFL,Pokhara Finance Limited,24.93,373.00,377.90,370.00,370.00,372.87,"6,895.00",378.00,"2,570,943.70",55,-8.0,7.9,-2.12,2.14,-0.78,363.83,367.07,534.00,290.00,2023-03-02
167,PFL,Pokhara Finance Limited,25.41,375.00,375.00,365.00,365.30,366.37,"6,837.00",370.00,"2,504,876.50",50,-4.7,10.0,-1.27,2.74,-0.29,363.49,367.14,534.00,290.00,2023-03-05
169,PFL,Pokhara Finance Limited,33.74,361.10,378.00,361.10,373.00,371.89,"5,710.00",365.30,"2,123,471.20",48,7.7,16.9,2.11,4.68,0.3,363.28,367.31,534.00,290.00,2023-03-07
167,PFL,Pokhara Finance Limited,42.94,380.40,388.00,378.00,385.00,383.12,"7,104.00",373.00,"2,721,664.70",63,12.0,10.0,3.22,2.65,0.49,363.20,367.44,534.00,290.00,2023-03-09
168,PFL,Pokhara Finance Limited,42.55,392.60,393.80,378.00,382.00,387.39,"12,461.00",385.00,"4,827,270.60",93,-3.0,15.8,-0.78,4.18,-1.41,363.08,367.60,534.00,290.00,2023-03-12
164,PFL,Pokhara Finance Limited,35.14,375.00,384.50,375.00,376.00,378.53,"3,225.00",378.20,"1,220,760.80",43,-2.2,9.5,-0.58,2.53,-0.67,362.81,367.89,534.00,290.00,2023-03-14
163,PFL,Pokhara Finance Limited,30.83,372.00,378.70,372.00,378.00,374.26,"3,045.00",376.00,"1,139,632.60",31,2.00,6.7,0.53,1.8,0.99,362.80,368.07,534.00,290.00,2023-03-15
164,PFL,Pokhara Finance Limited,38.57,382.00,382.00,373.30,380.00,377.72,"4,415.00",378.00,"1,667,613.50",40,2.0,8.7,0.53,2.33,0.6,362.90,368.31,534.00,290.00,2023-03-16
