SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
213,SIKLES,Sikles Hydropower Limited,38.19,360.10,372.30,359.00,365.00,363.24,"12,303.00",365.00,"4,468,939.00",210,0.0,13.3,0.0,3.7,0.48,-,-,396.10,315.50,2022-12-07
213,SIKLES,Sikles Hydropower Limited,38.19,360.10,372.30,359.00,365.00,363.24,"12,303.00",365.00,"4,468,939.00",210,0.0,13.3,0.0,3.7,0.48,-,-,396.10,315.50,2022-12-09
216,SIKLES,Sikles Hydropower Limited,39.61,359.10,370.90,358.00,364.00,363.66,"17,457.00",365.00,"6,348,353.20",346,-1.0,12.9,-0.27,3.6,0.09,-,-,396.10,315.50,2022-12-11
212,SIKLES,Sikles Hydropower Limited,36.67,357.00,373.00,357.00,373.00,366.79,"12,190.00",364.00,"4,471,228.70",331,9.0,16.0,2.47,4.48,1.66,-,-,396.10,315.50,2022-12-12
215,SIKLES,Sikles Hydropower Limited,38.88,370.00,379.90,370.00,378.00,373.58,"12,480.00",373.00,"4,662,339.00",225,5.0,9.9,1.34,2.68,1.17,-,-,396.10,315.50,2022-12-13
211,SIKLES,Sikles Hydropower Limited,41.54,370.50,380.00,370.50,379.00,376.84,"16,964.00",378.00,"6,392,751.00",265,1.0,9.5,0.26,2.56,0.57,-,-,396.10,315.50,2022-12-14
220,SIKLES,Sikles Hydropower Limited,40.62,375.00,382.00,373.40,374.30,375.52,"6,711.00",379.00,"2,520,092.40",268,-4.7,8.6,-1.24,2.3,-0.33,-,-,396.10,315.50,2022-12-15
216,SIKLES,Sikles Hydropower Limited,35.48,367.00,370.20,359.80,370.00,367.50,"6,700.00",374.30,"2,462,241.00",254,-4.3,10.4,-1.15,2.89,0.68,-,-,396.10,315.50,2022-12-18
216,SIKLES,Sikles Hydropower Limited,29.52,364.00,370.00,360.10,370.00,364.19,"5,916.00",370.00,"2,154,564.00",205,0.0,9.9,0.0,2.75,1.57,-,-,396.10,315.50,2022-12-19
222,SIKLES,Sikles Hydropower Limited,29.52,363.00,375.00,363.00,371.90,371.30,"5,703.00",370.00,"2,117,527.30",210,1.9,12.0,0.51,3.31,0.16,-,-,396.10,315.50,2022-12-20
217,SIKLES,Sikles Hydropower Limited,31.47,364.50,369.00,364.50,366.00,365.37,"2,070.00",371.90,"756,321.00",115,-5.9,4.5,-1.59,1.23,0.17,-,-,396.10,315.50,2022-12-21
212,SIKLES,Sikles Hydropower Limited,21.96,361.00,368.00,361.00,367.00,364.11,"5,740.00",366.00,"2,090,017.00",148,1.0,7.0,0.27,1.94,0.79,-,-,396.10,315.50,2022-12-22
216,SIKLES,Sikles Hydropower Limited,25.44,362.10,380.00,362.10,376.00,375.91,"5,965.00",367.00,"2,242,297.00",188,9.0,17.9,2.45,4.94,0.02,-,-,396.10,315.50,2022-12-26
226,SIKLES,Sikles Hydropower Limited,44.53,376.00,388.50,371.40,376.70,380.52,"16,396.00",376.00,"6,238,980.00",270,0.7,17.10,0.19,4.6,-1.01,-,-,396.10,315.50,2022-12-27
222,SIKLES,Sikles Hydropower Limited,48.03,371.20,384.20,371.20,378.00,379.75,"6,903.00",376.70,"2,621,414.80",168,1.3,13.0,0.35,3.5,-0.46,-,-,396.10,315.50,2022-12-28
222,SIKLES,Sikles Hydropower Limited,48.03,385.00,403.90,377.30,402.80,393.42,"16,547.00",378.00,"6,509,954.00",312,24.8,26.6,6.56,7.05,2.33,-,-,403.90,315.50,2022-12-29
226,SIKLES,Sikles Hydropower Limited,54.56,408.00,441.00,402.00,425.00,420.26,"22,426.00",402.80,"9,424,720.80",397,22.2,39.00,5.51,9.7,1.12,-,-,441.00,315.50,2023-01-01
218,SIKLES,Sikles Hydropower Limited,54.56,416.50,445.00,410.00,437.00,428.64,"11,666.00",425.00,"5,000,563.40",324,12.0,35.0,2.82,8.54,1.91,-,-,445.00,315.50,2023-01-02
222,SIKLES,Sikles Hydropower Limited,53.38,429.00,445.00,423.10,427.00,431.36,"13,939.00",437.00,"6,012,699.00",316,-10.0,21.9,-2.29,5.18,-1.02,-,-,445.00,315.50,2023-01-03
223,SIKLES,Sikles Hydropower Limited,57.2,420.60,448.00,420.60,441.00,433.53,"13,464.00",427.00,"5,837,090.60",336,14.0,27.4,3.28,6.51,1.69,-,-,448.00,315.50,2023-01-04
222,SIKLES,Sikles Hydropower Limited,55.74,433.00,460.00,426.30,452.00,443.62,"28,337.00",441.00,"12,570,871.40",373,11.0,33.7,2.49,7.91,1.85,-,-,460.00,315.50,2023-01-05
224,SIKLES,Sikles Hydropower Limited,56.94,449.90,469.00,437.00,452.00,447.39,"13,318.00",452.00,"5,958,321.50",335,0.00,32.00,0.0,7.32,1.02,-,-,469.00,315.50,2023-01-08
222,SIKLES,Sikles Hydropower Limited,56.29,445.00,470.20,445.00,460.00,459.99,"23,073.00",452.00,"10,613,260.00",392,8.0,25.2,1.77,5.66,0.0,-,-,470.20,315.50,2023-01-09
219,SIKLES,Sikles Hydropower Limited,54.11,460.00,477.00,436.10,452.80,457.86,"42,009.00",460.00,"19,234,346.00",417,-7.2,40.9,-1.57,9.38,-1.12,-,-,477.00,315.50,2023-01-10
216,SIKLES,Sikles Hydropower Limited,54.13,451.00,470.00,424.40,432.00,437.34,"24,949.00",452.80,"10,911,178.40",360,-20.8,45.6,-4.59,10.74,-1.24,-,-,477.00,315.50,2023-01-12
216,SIKLES,Sikles Hydropower Limited,44.46,430.00,472.00,427.00,462.00,450.66,"15,610.00",432.00,"7,034,880.50",435,30.0,45.0,6.94,10.54,2.45,0.00,0.00,477.00,315.50,2023-01-17
213,SIKLES,Sikles Hydropower Limited,49.3,455.00,490.00,455.00,467.00,473.78,"47,699.00",462.00,"22,599,006.00",481,5.0,35.0,1.08,7.69,-1.45,0.00,0.00,490.00,315.50,2023-01-18
212,SIKLES,Sikles Hydropower Limited,53.07,461.00,477.00,458.00,467.00,467.06,"18,355.00",467.00,"8,572,910.00",442,0.0,19.0,0.0,4.15,-0.01,0.00,0.00,490.00,315.50,2023-01-19
222,SIKLES,Sikles Hydropower Limited,47.14,460.00,476.30,450.20,457.00,456.31,"21,511.00",467.00,"9,815,709.50",427,-10.0,26.1,-2.14,5.8,0.15,0.00,0.00,490.00,315.50,2023-01-23
213,SIKLES,Sikles Hydropower Limited,49.98,447.90,454.00,443.00,451.00,448.76,"8,111.00",457.00,"3,639,859.00",315,-6.0,11.0,-1.31,2.48,0.5,0.00,0.00,490.00,315.50,2023-01-24
225,SIKLES,Sikles Hydropower Limited,40.82,450.00,479.00,450.00,471.00,467.76,"27,636.00",451.00,"12,926,880.40",446,20.0,29.0,4.43,6.44,0.69,0.00,0.00,490.00,315.50,2023-01-25
218,SIKLES,Sikles Hydropower Limited,49.18,480.40,487.00,465.00,485.00,481.15,"21,385.00",471.00,"10,289,429.00",359,14.0,22.0,2.97,4.73,0.79,0.00,0.00,490.00,315.50,2023-01-26
230,SIKLES,Sikles Hydropower Limited,47.66,477.00,487.50,460.90,487.00,480.32,"20,670.00",485.00,"9,928,210.00",411,2.0,26.6,0.41,5.77,1.37,0.00,0.00,490.00,315.50,2023-01-29
219,SIKLES,Sikles Hydropower Limited,48.7,477.30,485.00,465.90,470.00,471.88,"17,465.00",487.00,"8,241,328.50",266,-17.0,19.1,-3.49,4.1,-0.4,0.00,0.00,490.00,315.50,2023-01-30
222,SIKLES,Sikles Hydropower Limited,45.33,461.00,479.00,456.10,470.00,466.22,"16,515.00",470.00,"7,699,636.00",349,0.0,22.9,0.0,5.02,0.8,0.00,0.00,490.00,315.50,2023-01-31
223,SIKLES,Sikles Hydropower Limited,40.68,461.10,473.00,461.10,471.00,468.55,"5,070.00",470.00,"2,375,564.10",225,1.0,11.9,0.21,2.58,0.52,0.00,0.00,490.00,315.50,2023-02-01
220,SIKLES,Sikles Hydropower Limited,36.18,462.00,469.00,454.00,457.00,459.51,"11,991.00",471.00,"5,509,936.60",259,-14.0,15.0,-2.97,3.3,-0.55,0.00,0.00,490.00,315.50,2023-02-02
221,SIKLES,Sikles Hydropower Limited,37.31,457.00,473.00,450.00,472.00,463.85,"8,906.00",457.00,"4,131,068.00",295,15.0,23.0,3.28,5.11,1.73,0.00,0.00,490.00,315.50,2023-02-05
223,SIKLES,Sikles Hydropower Limited,34.7,470.00,488.00,465.00,487.90,481.14,"19,816.00",470.00,"9,534,354.00",385,17.9,23.0,3.81,4.95,1.38,0.00,0.00,490.00,315.50,2023-02-07
219,SIKLES,Sikles Hydropower Limited,56.46,475.00,510.00,475.00,490.00,492.27,"16,536.00",483.00,"8,140,163.00",275,7.0,35.0,1.45,7.37,-0.46,0.00,0.00,510.00,315.50,2023-02-09
217,SIKLES,Sikles Hydropower Limited,49.83,481.00,492.00,471.40,487.00,483.42,"23,278.00",490.00,"11,252,987.20",246,-3.0,20.6,-0.61,4.37,0.74,0.00,0.00,510.00,315.50,2023-02-12
219,SIKLES,Sikles Hydropower Limited,34.24,477.30,490.00,472.10,488.00,482.71,"8,432.00",487.00,"4,070,173.60",211,1.00,17.9,0.21,3.79,1.08,0.00,0.00,510.00,315.50,2023-02-14
218,SIKLES,Sikles Hydropower Limited,30.99,480.00,488.00,471.10,477.00,477.88,"6,490.00",486.70,"3,101,438.50",177,-9.70,16.90,-1.99,3.59,-0.18,0.00,0.00,510.00,315.50,2023-02-16
221,SIKLES,Sikles Hydropower Limited,27.33,475.00,480.00,468.10,474.00,471.87,"7,250.00",477.00,"3,421,088.00",176,-3.0,11.9,-0.63,2.54,0.45,0.00,0.00,510.00,315.50,2023-02-20
231,SIKLES,Sikles Hydropower Limited,31.83,470.00,488.00,470.00,488.00,479.24,"5,385.00",474.00,"2,580,682.00",252,14.0,18.0,2.95,3.83,1.8,0.00,0.00,510.00,315.50,2023-02-22
223,SIKLES,Sikles Hydropower Limited,23.0,478.30,478.30,461.60,478.00,470.59,"3,110.00",488.00,"1,463,521.50",126,-10.0,16.7,-2.05,3.62,1.55,0.00,0.00,510.00,315.50,2023-02-23
