SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
205,SHEL,Singati Hydro Energy Limited,33.53,228.00,234.00,226.00,234.00,227.86,"1,690.00",230.00,"385,080.00",51,4.0,8.0,1.74,3.54,2.62,255.24,287.53,537.00,206.10,2022-12-07
205,SHEL,Singati Hydro Energy Limited,33.53,228.00,234.00,226.00,234.00,227.86,"1,690.00",230.00,"385,080.00",51,4.0,8.0,1.74,3.54,2.62,255.24,287.53,537.00,206.10,2022-12-09
208,SHEL,Singati Hydro Energy Limited,34.94,229.40,232.00,227.00,232.00,228.66,795.00,234.00,"181,788.00",54,-2.0,5.0,-0.85,2.2,1.44,-,-,537.00,206.10,2022-12-11
204,SHEL,Singati Hydro Energy Limited,31.07,230.00,236.60,226.10,236.60,230.51,"1,210.00",232.00,"278,919.00",40,4.6,10.5,1.98,4.64,2.57,254.68,285.25,537.00,206.10,2022-12-12
207,SHEL,Singati Hydro Energy Limited,45.54,232.00,240.00,228.10,229.00,232.69,460.00,236.60,"107,038.00",27,-7.6,11.9,-3.21,5.22,-1.61,254.55,284.10,537.00,206.10,2022-12-13
204,SHEL,Singati Hydro Energy Limited,25.47,230.00,234.60,226.20,229.40,230.84,980.00,229.00,"226,219.00",42,0.4,8.4,0.17,3.71,-0.63,254.53,282.90,537.00,206.10,2022-12-14
212,SHEL,Singati Hydro Energy Limited,25.75,228.00,234.60,226.70,234.60,228.07,720.00,229.40,"164,209.10",37,5.2,7.9,2.27,3.48,2.78,254.53,281.73,537.00,206.10,2022-12-15
208,SHEL,Singati Hydro Energy Limited,34.12,234.00,234.00,225.40,228.00,228.12,575.00,234.60,"131,170.00",28,-6.6,8.6,-2.81,3.82,-0.05,254.43,280.57,537.00,206.10,2022-12-18
208,SHEL,Singati Hydro Energy Limited,41.22,223.50,235.00,223.50,229.00,229.35,"1,400.00",228.00,"321,087.00",38,1.0,11.5,0.44,5.15,-0.15,254.46,279.43,537.00,206.10,2022-12-19
213,SHEL,Singati Hydro Energy Limited,41.22,225.00,231.00,225.00,229.00,229.61,989.00,229.00,"227,086.00",36,0.0,6.0,0.0,2.67,-0.27,254.50,278.38,537.00,206.10,2022-12-20
208,SHEL,Singati Hydro Energy Limited,38.86,225.00,230.00,225.00,227.60,228.42,840.00,229.00,"191,874.00",29,-1.4,5.0,-0.61,2.22,-0.36,254.36,277.35,537.00,206.10,2022-12-21
202,SHEL,Singati Hydro Energy Limited,25.54,223.20,226.00,222.00,222.20,224.91,"3,770.00",227.60,"847,918.40",59,-5.4,4.0,-2.37,1.8,-1.22,254.28,276.28,537.00,206.10,2022-12-22
207,SHEL,Singati Hydro Energy Limited,33.6,223.00,240.00,223.00,235.20,233.46,959.00,222.20,"223,890.00",47,13.0,17.0,5.85,7.62,0.74,254.40,275.23,537.00,206.10,2022-12-26
217,SHEL,Singati Hydro Energy Limited,43.32,237.10,248.80,237.10,246.00,244.22,"7,457.00",235.20,"1,821,165.30",102,10.8,11.70,4.59,4.93,0.72,254.47,274.31,537.00,206.10,2022-12-27
214,SHEL,Singati Hydro Energy Limited,53.84,242.00,246.00,238.10,239.20,242.35,"4,280.00",246.00,"1,037,255.00",51,-6.8,7.9,-2.76,3.32,-1.32,254.34,273.39,537.00,206.10,2022-12-28
213,SHEL,Singati Hydro Energy Limited,53.84,235.00,249.90,235.00,249.00,245.09,"4,962.00",239.20,"1,216,124.00",75,9.8,14.9,4.1,6.34,1.57,254.27,272.55,537.00,206.10,2022-12-29
217,SHEL,Singati Hydro Energy Limited,56.35,253.90,258.00,244.20,244.20,252.60,"9,961.00",249.00,"2,516,183.00",107,-4.8,13.80,-1.93,5.65,-3.44,253.97,271.79,537.00,206.10,2023-01-01
209,SHEL,Singati Hydro Energy Limited,56.35,244.00,262.10,244.00,262.00,255.88,"10,694.00",244.20,"2,736,423.00",120,17.8,18.1,7.29,7.42,2.33,253.91,271.07,537.00,206.10,2023-01-02
213,SHEL,Singati Hydro Energy Limited,55.8,267.20,267.20,256.00,260.00,261.60,"4,650.00",262.00,"1,216,445.00",69,-2.0,11.2,-0.76,4.38,-0.62,253.87,270.35,537.00,206.10,2023-01-03
214,SHEL,Singati Hydro Energy Limited,56.93,254.80,272.00,254.80,269.00,266.35,"8,455.00",260.00,"2,252,001.80",111,9.0,17.2,3.46,6.75,0.98,253.95,269.69,537.00,206.10,2023-01-04
213,SHEL,Singati Hydro Energy Limited,59.13,263.80,282.50,263.80,270.60,271.50,"9,218.00",269.00,"2,502,643.00",127,1.6,18.7,0.59,7.09,-0.33,254.09,269.11,537.00,206.10,2023-01-05
215,SHEL,Singati Hydro Energy Limited,60.33,269.00,287.00,267.60,285.00,279.63,"14,092.00",270.60,"3,940,480.20",164,14.40,19.40,5.32,7.25,1.89,-,-,537.00,206.10,2023-01-08
213,SHEL,Singati Hydro Energy Limited,62.74,279.40,313.50,279.40,313.50,299.53,"24,919.00",285.00,"7,464,062.90",221,28.5,34.1,10.0,12.2,4.46,255.10,268.31,537.00,206.10,2023-01-09
210,SHEL,Singati Hydro Energy Limited,62.09,319.70,344.70,309.00,340.00,334.97,"71,392.00",313.50,"23,914,073.10",417,26.5,35.7,8.45,11.55,1.48,255.99,268.26,537.00,206.10,2023-01-10
207,SHEL,Singati Hydro Energy Limited,62.12,346.70,374.00,333.30,374.00,352.40,"105,140.00",340.00,"37,051,569.70",587,34.0,40.7,10.0,12.21,5.77,257.02,268.42,537.00,206.10,2023-01-12
207,SHEL,Singati Hydro Energy Limited,61.76,367.00,398.80,353.00,398.80,376.22,"53,225.00",374.00,"20,024,101.20",429,24.8,45.8,6.63,12.97,5.66,258.19,268.79,537.00,206.10,2023-01-17
204,SHEL,Singati Hydro Energy Limited,58.48,390.90,403.90,369.90,371.20,379.49,"149,703.00",398.80,"56,810,317.90",755,-27.6,34.0,-6.92,9.19,-2.23,259.15,268.99,537.00,206.10,2023-01-18
203,SHEL,Singati Hydro Energy Limited,57.32,370.00,382.50,364.10,376.90,373.03,"20,159.00",371.20,"7,519,852.50",223,5.7,18.4,1.54,5.05,1.03,260.22,269.03,537.00,206.10,2023-01-19
