SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
44,GBBL,Garima Bikas Bank Limited,27.09,383.00,385.00,381.70,382.50,382.96,"14,682.00",383.00,"5,622,560.80",105,-0.5,3.3,-0.13,0.86,-0.12,382.71,394.37,625.00,318.00,2022-12-07
44,GBBL,Garima Bikas Bank Limited,27.09,383.00,385.00,381.70,382.50,382.96,"14,682.00",383.00,"5,622,560.80",105,-0.5,3.3,-0.13,0.86,-0.12,382.71,394.37,625.00,318.00,2022-12-07
44,GBBL,Garima Bikas Bank Limited,27.09,383.00,385.00,381.70,382.50,382.96,"14,682.00",383.00,"5,622,560.80",105,-0.5,3.3,-0.13,0.86,-0.12,382.71,394.37,625.00,318.00,2022-12-09
47,GBBL,Garima Bikas Bank Limited,28.5,382.00,383.00,375.00,375.20,377.92,"17,022.00",382.50,"6,432,970.30",142,-7.3,8.0,-1.91,2.13,-0.73,-,-,625.00,318.00,2022-12-11
47,GBBL,Garima Bikas Bank Limited,29.41,377.00,382.00,373.50,379.90,377.42,"17,368.00",375.20,"6,554,943.80",101,4.7,8.5,1.25,2.28,0.65,382.93,392.31,625.00,318.00,2022-12-12
47,GBBL,Garima Bikas Bank Limited,29.98,380.00,381.00,375.00,378.00,379.04,"10,271.00",379.90,"3,893,069.60",80,-1.9,6.0,-0.5,1.6,-0.27,383.11,391.80,625.00,318.00,2022-12-13
48,GBBL,Garima Bikas Bank Limited,27.76,384.00,384.40,380.00,382.90,381.63,"8,197.00",378.00,"3,128,227.80",90,4.9,4.4,1.3,1.16,0.33,383.46,391.26,625.00,318.00,2022-12-14
48,GBBL,Garima Bikas Bank Limited,33.36,376.10,383.50,376.00,380.00,381.26,"15,621.00",382.90,"5,955,601.60",113,-2.9,7.5,-0.76,1.99,-0.33,383.68,390.68,625.00,318.00,2022-12-15
49,GBBL,Garima Bikas Bank Limited,43.77,380.00,383.00,374.00,375.00,376.72,"19,665.00",380.00,"7,408,290.40",172,-5.0,9.0,-1.32,2.41,-0.46,383.95,390.12,625.00,318.00,2022-12-18
49,GBBL,Garima Bikas Bank Limited,35.3,376.00,379.70,373.00,375.10,375.83,"10,687.00",375.00,"4,016,504.90",108,0.1,6.7,0.03,1.8,-0.19,384.32,389.61,625.00,318.00,2022-12-19
50,GBBL,Garima Bikas Bank Limited,35.3,381.00,381.00,377.00,377.00,379.50,"18,935.00",375.10,"7,185,792.20",120,1.9,4.0,0.51,1.06,-0.66,384.70,389.20,625.00,318.00,2022-12-20
