SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
242,UPPER,Upper Tamakoshi Hydropower Limited,27.64,371.00,376.00,370.50,372.00,372.81,"13,102.00",376.00,"4,884,620.00",140,-4.0,5.5,-1.06,1.48,-0.22,437.36,468.58,781.30,354.00,2022-12-07
242,UPPER,Upper Tamakoshi Hydropower Limited,27.64,371.00,376.00,370.50,372.00,372.81,"13,102.00",376.00,"4,884,620.00",140,-4.0,5.5,-1.06,1.48,-0.22,437.36,468.58,781.30,354.00,2022-12-09
248,UPPER,Upper Tamakoshi Hydropower Limited,29.05,366.00,373.30,366.00,368.10,370.04,"20,467.00",372.00,"7,573,706.80",173,-3.9,7.3,-1.05,1.99,-0.53,-,-,781.30,354.00,2022-12-11
241,UPPER,Upper Tamakoshi Hydropower Limited,31.57,361.00,375.00,361.00,372.00,370.29,"16,482.00",368.10,"6,103,111.20",168,3.9,14.0,1.06,3.88,0.46,435.94,466.02,781.30,354.00,2022-12-12
244,UPPER,Upper Tamakoshi Hydropower Limited,38.97,379.40,394.00,379.40,391.00,389.36,"76,962.00",372.00,"29,965,858.20",687,19.0,14.6,5.11,3.85,0.42,435.58,464.85,781.30,354.00,2022-12-13
242,UPPER,Upper Tamakoshi Hydropower Limited,51.32,398.70,398.70,387.00,389.00,390.36,"31,902.00",391.00,"12,453,321.00",311,-2.0,11.7,-0.51,3.02,-0.35,435.40,463.61,781.30,354.00,2022-12-14
250,UPPER,Upper Tamakoshi Hydropower Limited,46.35,390.00,392.00,380.50,381.00,383.21,"16,747.00",389.00,"6,417,541.00",178,-8.0,11.5,-2.06,3.02,-0.58,435.01,462.29,781.30,354.00,2022-12-15
246,UPPER,Upper Tamakoshi Hydropower Limited,44.74,375.00,387.00,374.00,379.00,380.48,"18,406.00",381.00,"7,003,036.70",201,-2.0,13.0,-0.52,3.48,-0.39,434.75,461.00,781.30,354.00,2022-12-18
247,UPPER,Upper Tamakoshi Hydropower Limited,27.78,380.00,383.00,376.10,379.10,379.76,"10,669.00",379.00,"4,051,706.00",147,0.1,6.9,0.03,1.83,-0.18,434.58,459.74,781.30,354.00,2022-12-19
253,UPPER,Upper Tamakoshi Hydropower Limited,27.78,379.00,385.20,379.00,383.00,381.70,"14,383.00",379.10,"5,490,038.50",145,3.9,6.2,1.03,1.64,0.34,434.42,458.58,781.30,354.00,2022-12-20
248,UPPER,Upper Tamakoshi Hydropower Limited,27.94,380.00,385.00,378.00,378.10,380.66,"26,811.00",383.00,"10,205,790.70",172,-4.9,7.0,-1.28,1.85,-0.68,433.96,457.43,781.30,354.00,2022-12-21
243,UPPER,Upper Tamakoshi Hydropower Limited,35.69,377.00,378.00,375.00,377.00,376.03,"16,038.00",378.10,"6,030,786.80",167,-1.1,3.0,-0.29,0.8,0.26,433.62,456.29,781.30,354.00,2022-12-22
246,UPPER,Upper Tamakoshi Hydropower Limited,35.44,381.00,395.00,381.00,394.00,389.85,"41,041.00",377.00,"16,000,015.20",320,17.0,14.0,4.51,3.67,1.05,433.48,455.18,781.30,354.00,2022-12-26
257,UPPER,Upper Tamakoshi Hydropower Limited,49.0,399.00,433.40,399.00,427.00,420.20,"140,616.00",394.00,"59,086,539.40",824,33.0,34.40,8.38,8.62,1.59,433.52,454.30,781.30,354.00,2022-12-27
253,UPPER,Upper Tamakoshi Hydropower Limited,55.3,435.50,469.00,418.50,450.00,448.39,"174,937.00",427.00,"78,440,038.90","1,283",23.0,50.5,5.39,12.07,0.36,433.62,453.57,781.30,354.00,2022-12-28
253,UPPER,Upper Tamakoshi Hydropower Limited,55.3,458.00,473.00,446.00,469.00,462.16,"97,666.00",450.00,"45,137,740.20",718,19.0,27.0,4.22,6.05,1.46,433.85,452.96,781.30,354.00,2022-12-29
257,UPPER,Upper Tamakoshi Hydropower Limited,54.16,474.00,504.30,461.00,473.00,477.99,"129,093.00",469.00,"61,705,701.20",882,4.0,43.30,0.85,9.39,-1.06,433.75,452.44,781.30,354.00,2023-01-01
249,UPPER,Upper Tamakoshi Hydropower Limited,54.16,478.00,478.00,455.00,471.00,471.22,"77,641.00",473.00,"36,585,638.60",517,-2.0,23.0,-0.42,5.05,-0.05,433.56,451.95,781.30,354.00,2023-01-02
253,UPPER,Upper Tamakoshi Hydropower Limited,48.49,475.00,480.00,466.50,469.00,472.80,"57,746.00",471.00,"27,302,263.90",392,-2.0,13.5,-0.42,2.89,-0.81,433.41,451.42,781.30,354.00,2023-01-03
254,UPPER,Upper Tamakoshi Hydropower Limited,46.86,468.00,481.00,465.00,474.00,474.16,"70,745.00",469.00,"33,544,725.80",408,5.0,16.0,1.07,3.44,-0.03,433.11,450.99,781.30,354.00,2023-01-04
255,UPPER,Upper Tamakoshi Hydropower Limited,52.76,483.40,498.00,481.00,485.00,486.90,"157,476.00",474.00,"76,674,737.80",703,11.0,17.0,2.32,3.53,-0.39,432.87,450.67,781.30,354.00,2023-01-05
255,UPPER,Upper Tamakoshi Hydropower Limited,53.96,490.00,520.00,480.00,508.00,507.08,"267,484.00",485.00,"135,636,635.90",980,23.00,40.00,4.74,8.33,0.18,-,-,781.30,354.00,2023-01-08
253,UPPER,Upper Tamakoshi Hydropower Limited,56.52,508.00,544.00,508.00,538.10,529.51,"171,000.00",508.00,"90,546,577.00","1,031",30.1,36.0,5.93,7.09,1.6,433.38,450.48,781.30,354.00,2023-01-09
250,UPPER,Upper Tamakoshi Hydropower Limited,57.18,548.70,581.40,535.00,544.00,555.94,"277,512.00",538.10,"154,280,402.30","1,529",5.9,46.4,1.1,8.67,-2.2,433.85,450.62,781.30,354.00,2023-01-10
248,UPPER,Upper Tamakoshi Hydropower Limited,57.2,553.00,576.00,536.00,543.00,549.20,"233,977.00",544.00,"128,499,923.10","1,324",-1.0,40.0,-0.18,7.46,-1.14,434.18,450.74,781.30,354.00,2023-01-12
246,UPPER,Upper Tamakoshi Hydropower Limited,54.36,550.00,569.00,532.00,568.00,555.80,"204,818.00",543.00,"113,838,159.50","1,202",25.0,37.0,4.6,6.95,2.15,434.41,451.09,781.30,354.00,2023-01-17
244,UPPER,Upper Tamakoshi Hydropower Limited,53.17,557.10,590.00,557.10,567.00,573.37,"169,705.00",568.00,"97,303,513.60",878,-1.0,32.9,-0.18,5.91,-1.12,434.62,451.41,781.30,354.00,2023-01-18
