SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
225,SPDL,Synergy Power Development Limited,22.4,265.00,267.00,263.00,264.10,264.91,"11,428.00",265.00,"3,027,364.00",46,-0.9,4.0,-0.34,1.52,-0.31,302.57,329.06,555.00,234.00,2022-12-07
225,SPDL,Synergy Power Development Limited,22.4,265.00,267.00,263.00,264.10,264.91,"11,428.00",265.00,"3,027,364.00",46,-0.9,4.0,-0.34,1.52,-0.31,302.57,329.06,555.00,234.00,2022-12-09
230,SPDL,Synergy Power Development Limited,23.81,260.00,264.00,257.00,260.60,258.73,"22,526.00",264.10,"5,828,234.50",60,-3.5,7.0,-1.33,2.72,0.72,-,-,555.00,234.00,2022-12-11
224,SPDL,Synergy Power Development Limited,26.6,257.10,265.00,256.00,264.50,260.89,"11,040.00",260.60,"2,880,249.40",61,3.9,9.0,1.5,3.52,1.36,301.35,326.98,555.00,234.00,2022-12-12
228,SPDL,Synergy Power Development Limited,34.18,267.80,268.00,261.50,263.00,264.12,"7,911.00",264.50,"2,089,460.40",45,-1.5,6.5,-0.57,2.49,-0.43,300.93,325.94,555.00,234.00,2022-12-13
224,SPDL,Synergy Power Development Limited,33.35,258.10,265.00,258.00,263.00,261.13,"9,188.00",263.00,"2,399,256.20",45,0.0,7.0,0.0,2.71,0.71,300.64,324.80,555.00,234.00,2022-12-14
233,SPDL,Synergy Power Development Limited,32.15,258.00,261.00,257.50,258.90,258.20,"8,760.00",263.00,"2,261,854.70",44,-4.1,3.5,-1.56,1.36,0.27,300.19,323.68,555.00,234.00,2022-12-15
230,SPDL,Synergy Power Development Limited,29.82,259.90,259.90,249.50,255.00,252.49,"8,580.00",258.90,"2,166,385.30",62,-3.9,10.4,-1.51,4.17,0.98,299.81,322.57,555.00,234.00,2022-12-18
230,SPDL,Synergy Power Development Limited,21.81,250.00,255.00,250.00,252.00,252.26,"9,249.00",255.00,"2,333,159.00",37,-3.0,5.0,-1.18,2.0,-0.1,299.54,321.55,555.00,234.00,2022-12-19
236,SPDL,Synergy Power Development Limited,21.81,255.90,257.00,253.00,257.00,254.83,"8,929.00",252.00,"2,275,382.90",43,5.0,4.0,1.98,1.58,0.84,299.24,320.65,555.00,234.00,2022-12-20
231,SPDL,Synergy Power Development Limited,24.25,254.10,256.00,248.00,248.00,253.03,"9,072.00",257.00,"2,295,491.00",55,-9.0,8.0,-3.5,3.23,-2.03,298.62,319.72,555.00,234.00,2022-12-21
226,SPDL,Synergy Power Development Limited,21.59,252.00,254.00,247.20,250.00,249.55,"9,117.00",248.00,"2,275,166.50",71,2.0,6.8,0.81,2.75,0.18,298.15,318.85,555.00,234.00,2022-12-22
230,SPDL,Synergy Power Development Limited,22.64,254.00,267.00,254.00,266.90,262.67,"42,504.00",250.00,"11,164,706.70",191,16.9,13.0,6.76,5.12,1.58,297.81,317.97,555.00,234.00,2022-12-26
240,SPDL,Synergy Power Development Limited,43.58,272.00,280.00,267.00,274.00,275.03,"75,728.00",266.90,"20,827,621.10",276,7.1,13.00,2.66,4.87,-0.38,297.38,317.20,555.00,234.00,2022-12-27
236,SPDL,Synergy Power Development Limited,52.27,279.40,279.40,264.20,272.70,270.10,"32,182.00",274.00,"8,692,305.90",140,-1.3,15.2,-0.47,5.75,0.95,296.78,316.46,555.00,234.00,2022-12-28
236,SPDL,Synergy Power Development Limited,52.27,274.00,284.30,270.00,284.30,278.89,"79,401.00",272.70,"22,144,272.10",222,11.6,14.3,4.25,5.3,1.9,296.33,315.82,555.00,234.00,2022-12-29
240,SPDL,Synergy Power Development Limited,53.59,288.00,298.00,280.00,287.00,287.01,"57,680.00",284.30,"16,555,010.70",243,2.7,18.00,0.95,6.43,-0.01,295.78,315.21,555.00,234.00,2023-01-01
232,SPDL,Synergy Power Development Limited,53.59,289.00,296.80,278.00,290.00,289.33,"37,718.00",287.00,"10,912,970.80",188,3.0,18.8,1.05,6.76,0.23,295.25,314.63,555.00,234.00,2023-01-02
236,SPDL,Synergy Power Development Limited,53.64,295.80,306.00,284.00,295.00,296.66,"90,534.00",290.00,"26,858,241.50",310,5.0,22.0,1.72,7.75,-0.56,294.81,314.05,555.00,234.00,2023-01-03
237,SPDL,Synergy Power Development Limited,61.53,293.00,310.00,293.00,308.00,301.75,"76,612.00",295.00,"23,117,998.20",276,13.0,17.0,4.41,5.8,2.03,294.38,313.60,555.00,234.00,2023-01-04
237,SPDL,Synergy Power Development Limited,57.47,314.10,318.00,302.00,310.00,310.32,"82,495.00",308.00,"25,599,658.00",336,2.0,16.0,0.65,5.3,-0.1,294.02,313.19,555.00,234.00,2023-01-05
238,SPDL,Synergy Power Development Limited,58.67,311.00,331.00,305.00,322.00,320.52,"118,027.00",310.00,"37,830,078.90",389,12.00,26.00,3.87,8.52,0.46,-,-,555.00,234.00,2023-01-08
236,SPDL,Synergy Power Development Limited,58.74,316.10,344.00,316.00,342.00,334.61,"92,760.00",322.00,"31,038,535.20",326,20.0,28.0,6.21,8.86,2.16,294.10,312.65,555.00,234.00,2023-01-09
233,SPDL,Synergy Power Development Limited,55.14,348.80,359.90,331.00,331.50,345.80,"111,391.00",342.00,"38,518,597.40",540,-10.5,28.9,-3.07,8.73,-4.31,294.21,312.49,555.00,234.00,2023-01-10
230,SPDL,Synergy Power Development Limited,55.17,338.10,355.90,316.20,316.20,330.24,"114,644.00",331.50,"37,859,503.00",579,-15.3,39.7,-4.62,12.56,-4.44,293.99,312.23,555.00,234.00,2023-01-12
230,SPDL,Synergy Power Development Limited,51.15,322.00,338.00,315.60,332.00,328.94,"130,270.00",316.20,"42,850,829.70",426,15.8,22.4,5.0,7.1,0.92,293.89,312.15,555.00,234.00,2023-01-17
227,SPDL,Synergy Power Development Limited,52.32,338.60,349.00,327.00,334.00,341.11,"95,159.00",332.00,"32,459,353.90",440,2.0,22.0,0.6,6.73,-2.13,293.89,312.07,555.00,234.00,2023-01-18
226,SPDL,Synergy Power Development Limited,47.23,335.90,340.00,330.00,336.00,337.01,"48,077.00",334.00,"16,202,191.50",203,2.0,10.0,0.6,3.03,-0.3,293.88,311.82,555.00,234.00,2023-01-19
236,SPDL,Synergy Power Development Limited,45.1,336.00,345.00,325.00,328.20,336.99,"62,261.00",336.00,"20,981,208.90",282,-7.8,20.0,-2.32,6.15,-2.68,293.78,311.59,555.00,234.00,2023-01-23
227,SPDL,Synergy Power Development Limited,46.47,323.00,335.00,320.50,334.00,326.50,"38,844.00",328.20,"12,682,388.20",189,5.8,14.5,1.77,4.52,2.25,293.74,311.43,555.00,234.00,2023-01-24
240,SPDL,Synergy Power Development Limited,42.92,334.00,344.70,331.00,336.00,338.86,"49,517.00",334.00,"16,779,098.60",231,2.0,13.7,0.6,4.14,-0.85,293.68,311.25,555.00,234.00,2023-01-25
233,SPDL,Synergy Power Development Limited,44.67,340.00,345.00,336.00,336.50,340.66,"57,048.00",336.00,"19,433,845.70",209,0.5,9.0,0.15,2.68,-1.24,293.69,311.12,555.00,234.00,2023-01-26
245,SPDL,Synergy Power Development Limited,44.19,333.00,349.80,330.00,338.50,340.01,"57,277.00",336.50,"19,474,699.90",214,2.0,19.8,0.59,6.0,-0.45,293.79,311.08,555.00,234.00,2023-01-29
234,SPDL,Synergy Power Development Limited,45.64,345.00,349.90,331.40,331.50,339.07,"87,111.00",338.50,"29,536,812.20",440,-7.0,18.5,-2.07,5.58,-2.28,293.68,311.06,555.00,234.00,2023-01-30
237,SPDL,Synergy Power Development Limited,44.22,330.20,337.10,325.50,325.60,330.96,"52,124.00",331.50,"17,250,811.40",228,-5.9,11.6,-1.78,3.56,-1.65,293.39,311.04,555.00,234.00,2023-01-31
239,SPDL,Synergy Power Development Limited,37.41,332.00,336.00,329.00,332.90,332.07,"53,541.00",325.60,"17,779,541.50",215,7.3,7.0,2.24,2.13,0.25,293.24,310.95,555.00,234.00,2023-02-01
