SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
138,NICAD8283,11% NIC Asia Debenture 2082/83,36.45,955.10,955.10,955.10,955.10,955.10,25.00,955.10,"23,877.50",1,0.0,0.0,0.0,0.0,0.0,"1,036.58","1,072.02","1,130.10",949.00,2022-12-12
141,NICAD8283,11% NIC Asia Debenture 2082/83,34.34,960.30,960.30,960.30,960.30,960.30,20.00,955.10,"19,206.00",1,5.2,0.0,0.54,0.0,0.0,"1,035.52","1,070.99","1,130.10",949.00,2022-12-19
142,NICAD8283,11% NIC Asia Debenture 2082/83,34.34,958.00,958.00,958.00,958.00,958.00,20.00,960.30,"19,160.00",1,-2.3,0.0,-0.24,0.0,0.0,"1,034.34","1,070.06","1,130.10",949.00,2022-12-20
143,NICAD8283,11% NIC Asia Debenture 2082/83,38.27,977.00,977.00,977.00,977.00,977.00,50.00,958.00,"48,850.00",1,19.0,0.0,1.98,0.0,0.0,"1,033.50","1,069.32","1,130.10",949.00,2023-01-03
143,NICAD8283,11% NIC Asia Debenture 2082/83,54.6,970.00,970.00,970.00,970.00,970.00,100.00,977.00,"97,000.00",3,-7.0,0.0,-0.72,0.0,0.0,"1,032.50","1,068.52","1,130.10",949.00,2023-01-04
144,NICAD8283,11% NIC Asia Debenture 2082/83,58.76,978.00,978.00,978.00,978.00,978.00,50.00,970.00,"48,900.00",1,8.00,0.00,0.82,0.0,0.0,-,-,"1,130.10",949.00,2023-01-08
138,NICAD8283,11% NIC Asia Debenture 2082/83,59.0,963.00,970.00,963.00,970.00,969.36,165.00,978.00,"159,945.00",3,-8.0,7.0,-0.82,0.73,0.07,"1,030.76","1,066.79","1,130.10",949.00,2023-01-10
136,NICAD8283,11% NIC Asia Debenture 2082/83,58.67,951.00,951.00,950.90,950.90,950.98,250.00,970.00,"237,745.00",2,-19.1,0.1,-1.97,0.01,-0.01,"1,029.64","1,065.74","1,107.40",949.00,2023-01-17
136,NICAD8283,11% NIC Asia Debenture 2082/83,49.23,955.00,955.00,955.00,955.00,955.00,150.00,950.90,"143,250.00",1,4.1,0.0,0.43,0.0,0.0,"1,028.51","1,064.60","1,107.40",949.00,2023-01-24
137,NICAD8283,11% NIC Asia Debenture 2082/83,49.36,936.10,936.10,935.90,935.90,936.01,75.00,955.00,"70,200.40",3,-19.1,0.2,-2.0,0.02,-0.01,"1,027.31","1,063.32","1,107.40",935.90,2023-01-25
136,NICAD8283,11% NIC Asia Debenture 2082/83,40.5,935.00,935.00,935.00,935.00,935.00,90.00,935.90,"84,150.00",3,-0.9,0.0,-0.1,0.0,0.0,"1,025.84","1,062.13","1,107.40",935.00,2023-01-26
140,NICAD8283,11% NIC Asia Debenture 2082/83,40.27,927.50,928.60,927.50,928.40,928.40,420.00,935.00,"389,926.90",7,-6.6,1.1,-0.71,0.12,0.0,"1,024.49","1,060.90","1,107.40",927.50,2023-01-29
138,NICAD8283,11% NIC Asia Debenture 2082/83,46.17,946.90,946.90,946.90,946.90,946.90,35.00,928.40,"33,141.50",1,18.5,0.0,1.99,0.0,0.0,"1,023.01","1,059.77","1,107.40",927.50,2023-01-30
137,NICAD8283,11% NIC Asia Debenture 2082/83,35.1,946.00,946.00,945.00,945.00,945.09,110.00,946.90,"103,960.00",2,-1.9,1.0,-0.2,0.11,-0.01,"1,021.47","1,058.75","1,107.40",927.50,2023-02-01
140,NICAD8283,11% NIC Asia Debenture 2082/83,57.09,940.00,940.00,940.00,940.00,940.00,267.00,945.00,"250,980.00",2,-5.0,0.0,-0.53,0.0,0.0,"1,019.88","1,057.71","1,107.40",927.50,2023-02-05
139,NICAD8283,11% NIC Asia Debenture 2082/83,35.95,932.20,932.20,931.10,931.10,931.41,100.00,930.10,"93,141.00",3,1.00,1.10,0.11,0.12,-0.03,"1,017.45","1,055.52","1,087.70",927.50,2023-02-16
140,NICAD8283,11% NIC Asia Debenture 2082/83,42.68,949.70,949.70,949.70,949.70,949.70,25.00,931.10,"23,742.50",1,18.6,0.0,2.0,0.0,0.0,"1,016.24","1,054.54","1,087.70",927.50,2023-02-20
148,NICAD8283,11% NIC Asia Debenture 2082/83,45.92,950.00,950.00,930.80,931.10,933.17,600.00,949.70,"559,899.10",8,-18.6,19.2,-1.96,2.06,-0.22,"1,014.83","1,053.44","1,087.70",927.50,2023-02-22
139,NICAD8283,11% NIC Asia Debenture 2082/83,52.65,935.00,935.00,935.00,935.00,935.00,"1,025.00",931.10,"958,375.00",1,3.9,0.0,0.42,0.0,0.0,"1,013.64","1,052.35","1,087.70",927.50,2023-02-26
139,NICAD8283,11% NIC Asia Debenture 2082/83,35.6,948.70,948.70,948.70,948.70,948.70,25.00,930.10,"23,717.50",1,18.6,0.0,2.0,0.0,0.0,"1,011.43","1,050.28","1,087.70",927.50,2023-03-12
