SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
80,KBL,Kumari Bank Limited,35.93,184.00,187.00,182.00,184.00,184.24,"32,594.00",184.70,"6,005,049.40",187,-0.7,5.0,-0.38,2.75,-0.13,202.04,213.92,296.50,180.00,2022-12-07
80,KBL,Kumari Bank Limited,35.93,184.00,187.00,182.00,184.00,184.24,"32,594.00",184.70,"6,005,049.40",187,-0.7,5.0,-0.38,2.75,-0.13,202.04,213.92,296.50,180.00,2022-12-09
84,KBL,Kumari Bank Limited,37.35,184.00,187.40,182.50,183.00,184.68,"43,691.00",184.00,"8,068,734.10",298,-1.0,4.9,-0.54,2.68,-0.92,-,-,296.50,180.00,2022-12-11
82,KBL,Kumari Bank Limited,38.08,184.00,187.00,182.50,185.00,184.76,"58,040.00",183.00,"10,723,747.80",221,2.0,4.5,1.09,2.47,0.13,201.47,213.14,296.50,180.00,2022-12-12
81,KBL,Kumari Bank Limited,42.97,184.00,187.70,183.00,186.90,184.93,"21,351.00",185.00,"3,948,444.00",141,1.9,4.7,1.03,2.57,1.05,201.24,212.71,296.50,180.00,2022-12-13
83,KBL,Kumari Bank Limited,45.18,189.20,189.20,184.20,184.20,185.52,"15,989.00",186.90,"2,966,317.80",121,-2.7,5.0,-1.44,2.71,-0.72,200.97,212.28,296.50,180.00,2022-12-14
87,KBL,Kumari Bank Limited,37.61,185.00,185.50,182.60,183.30,183.76,"32,506.00",184.20,"5,973,446.60",148,-0.9,2.9,-0.49,1.59,-0.25,200.69,211.83,296.50,180.00,2022-12-15
84,KBL,Kumari Bank Limited,40.06,183.00,185.00,180.00,180.00,181.52,"39,318.00",183.30,"7,136,896.50",216,-3.3,5.0,-1.8,2.78,-0.84,200.33,211.37,296.50,180.00,2022-12-18
85,KBL,Kumari Bank Limited,26.2,180.00,182.40,176.50,180.10,179.60,"17,681.00",180.00,"3,175,422.40",147,0.1,5.9,0.06,3.34,0.28,199.96,210.93,296.50,176.50,2022-12-19
84,KBL,Kumari Bank Limited,26.2,180.50,184.00,179.10,182.00,181.82,"22,106.00",180.10,"4,019,338.40",166,1.9,4.9,1.05,2.74,0.1,199.59,210.50,296.50,176.50,2022-12-20
83,KBL,Kumari Bank Limited,27.65,182.00,183.90,180.10,182.00,181.98,"25,744.00",182.00,"4,684,877.40",124,0.0,3.8,0.0,2.11,0.01,199.28,210.07,296.50,176.50,2022-12-21
83,KBL,Kumari Bank Limited,33.79,183.00,184.30,180.00,181.00,181.14,"46,868.00",182.00,"8,489,771.90",184,-1.0,4.3,-0.55,2.39,-0.08,198.97,209.64,296.50,176.50,2022-12-22
83,KBL,Kumari Bank Limited,45.49,184.00,187.60,181.10,187.60,185.56,"49,925.00",181.00,"9,264,195.30",243,6.6,6.5,3.65,3.59,1.09,198.71,209.26,296.50,176.50,2022-12-26
87,KBL,Kumari Bank Limited,48.07,190.30,198.90,189.10,194.00,194.30,"112,675.00",187.60,"21,892,826.80",514,6.4,9.80,3.41,5.18,-0.15,198.53,208.97,296.50,176.50,2022-12-27
86,KBL,Kumari Bank Limited,50.13,196.00,196.00,190.00,190.20,191.46,"37,200.00",194.00,"7,122,257.90",209,-3.8,6.0,-1.96,3.16,-0.66,198.34,208.65,296.50,176.50,2022-12-28
87,KBL,Kumari Bank Limited,50.13,193.00,193.00,187.00,190.00,190.48,"80,472.00",190.20,"15,328,127.60",344,-0.2,6.0,-0.11,3.21,-0.25,198.14,208.32,296.50,176.50,2022-12-29
84,KBL,Kumari Bank Limited,61.05,193.30,208.50,193.30,208.50,207.40,"1,325,093.00",189.56,"274,828,832.30","3,506",18.94,15.2,9.99,7.86,0.53,198.07,208.11,280.00,176.50,2023-01-23
84,KBL,Kumari Bank Limited,62.11,208.00,211.60,201.00,203.90,204.91,"245,691.00",208.50,"50,343,801.20","1,124",-4.6,10.6,-2.21,5.27,-0.49,197.91,207.87,271.00,176.50,2023-01-24
83,KBL,Kumari Bank Limited,55.5,207.90,207.90,199.40,200.50,201.21,"247,505.00",203.90,"49,799,894.20",900,-3.4,8.5,-1.67,4.26,-0.35,197.77,207.63,270.50,176.50,2023-01-25
80,KBL,Kumari Bank Limited,59.38,201.00,201.00,197.00,197.10,198.53,"291,107.00",200.50,"57,794,501.90",905,-3.4,4.0,-1.7,2.03,-0.73,197.64,207.35,270.50,176.50,2023-01-26
84,KBL,Kumari Bank Limited,57.15,197.00,199.00,194.00,195.00,195.80,"172,680.00",197.10,"33,810,727.10",746,-2.1,5.0,-1.07,2.58,-0.41,197.52,207.05,270.50,176.50,2023-01-29
84,KBL,Kumari Bank Limited,39.96,191.50,197.80,191.50,193.00,193.84,"167,032.00",195.00,"32,377,346.90",635,-2.0,6.3,-1.03,3.29,-0.43,197.37,206.76,270.50,176.50,2023-01-30
85,KBL,Kumari Bank Limited,40.54,193.00,193.50,190.00,190.00,190.79,"135,238.00",193.00,"25,802,408.20",658,-3.0,3.5,-1.55,1.84,-0.42,197.20,206.47,270.50,176.50,2023-01-31
82,KBL,Kumari Bank Limited,37.75,190.00,192.00,189.00,190.00,190.17,"106,668.00",190.00,"20,285,579.20",434,0.0,3.0,0.0,1.59,-0.09,197.08,206.19,270.50,176.50,2023-02-01
83,KBL,Kumari Bank Limited,38.38,190.00,192.00,189.00,189.70,190.40,"121,654.00",190.00,"23,162,929.70",471,-0.3,3.0,-0.16,1.59,-0.37,196.96,205.93,270.50,176.50,2023-02-02
86,KBL,Kumari Bank Limited,35.4,193.40,196.50,190.00,191.00,192.68,"148,187.00",189.70,"28,552,983.20",550,1.3,6.5,0.69,3.42,-0.88,196.87,205.70,270.50,176.50,2023-02-05
85,KBL,Kumari Bank Limited,36.5,190.10,195.00,190.00,195.00,193.12,"148,290.00",190.10,"28,638,486.20",536,4.9,5.0,2.58,2.63,0.96,196.60,205.24,270.50,176.50,2023-02-07
84,KBL,Kumari Bank Limited,47.45,193.00,196.00,191.00,195.00,194.35,"77,621.00",194.00,"15,085,794.80",319,1.0,5.0,0.52,2.62,0.33,196.42,204.80,261.20,176.50,2023-02-09
82,KBL,Kumari Bank Limited,37.74,192.00,193.50,188.20,189.90,190.01,"162,683.00",195.00,"30,910,856.70",636,-5.1,5.3,-2.62,2.82,-0.06,196.32,204.50,255.00,176.50,2023-02-12
86,KBL,Kumari Bank Limited,31.29,190.00,190.00,187.00,189.00,187.87,"122,452.00",189.90,"23,005,377.10",531,-0.90,3.0,-0.47,1.6,0.6,196.23,204.20,253.90,176.50,2023-02-14
84,KBL,Kumari Bank Limited,32.92,189.40,189.40,184.00,185.30,186.33,"117,176.00",186.80,"21,833,020.10",496,-1.50,5.40,-0.8,2.93,-0.55,195.94,203.60,253.00,176.50,2023-02-16
83,KBL,Kumari Bank Limited,27.59,187.90,187.90,182.30,183.50,183.64,"91,169.00",185.30,"16,742,104.10",468,-1.8,5.6,-0.97,3.07,-0.08,195.80,203.30,252.00,176.50,2023-02-20
91,KBL,Kumari Bank Limited,30.28,186.00,187.00,183.00,185.00,185.33,"127,199.00",183.50,"23,573,781.10",412,1.5,4.0,0.82,2.19,-0.18,195.70,203.00,252.00,176.50,2023-02-22
85,KBL,Kumari Bank Limited,36.58,185.00,185.00,181.00,181.20,182.08,"143,920.00",185.00,"26,205,555.00",609,-3.8,4.0,-2.05,2.21,-0.49,195.54,202.67,250.00,176.50,2023-02-23
85,KBL,Kumari Bank Limited,38.0,182.00,182.00,178.00,181.00,179.60,"108,270.00",181.20,"19,445,332.20",522,-0.2,4.0,-0.11,2.25,0.77,195.40,202.36,247.00,176.50,2023-02-26
84,KBL,Kumari Bank Limited,32.44,180.00,183.00,179.60,180.60,181.11,"42,844.00",180.40,"7,759,549.60",228,0.2,3.4,0.11,1.89,-0.28,195.14,201.75,247.00,176.50,2023-02-28
85,KBL,Kumari Bank Limited,37.75,183.20,183.20,179.00,180.00,180.26,"54,705.00",180.60,"9,861,114.80",278,-0.60,4.20,-0.33,2.35,-0.14,194.95,201.47,247.00,176.50,2023-03-01
86,KBL,Kumari Bank Limited,32.99,178.40,180.80,178.00,179.00,178.72,"41,960.00",180.00,"7,499,140.80",261,-1.0,2.8,-0.56,1.57,0.16,194.79,201.18,247.00,176.50,2023-03-02
86,KBL,Kumari Bank Limited,35.45,179.00,180.00,176.40,177.90,177.45,"61,286.00",179.00,"10,875,001.70",328,-1.1,3.6,-0.61,2.04,0.25,194.63,200.88,247.00,176.40,2023-03-05
84,KBL,Kumari Bank Limited,35.98,177.00,180.10,177.00,179.00,178.39,"51,277.00",177.90,"9,147,523.50",250,1.1,3.1,0.62,1.75,0.34,194.44,200.59,247.00,176.40,2023-03-07
84,KBL,Kumari Bank Limited,45.02,180.00,182.50,178.10,181.00,180.08,"97,645.00",179.00,"17,583,865.30",424,2.0,4.4,1.12,2.47,0.51,194.24,200.34,247.00,176.40,2023-03-09
85,KBL,Kumari Bank Limited,37.7,181.00,183.50,177.50,178.90,178.71,"67,873.00",181.00,"12,129,404.80",297,-2.1,6.0,-1.16,3.38,0.11,194.06,200.08,247.00,176.40,2023-03-12
85,KBL,Kumari Bank Limited,36.92,179.80,180.00,176.00,178.00,178.58,"53,134.00",177.30,"9,488,615.70",221,0.7,4.0,0.39,2.27,-0.33,193.68,199.59,247.00,176.00,2023-03-14
84,KBL,Kumari Bank Limited,37.18,178.00,179.00,175.00,178.00,176.23,"92,312.00",178.00,"16,268,533.90",363,0.00,4.0,0.0,2.29,0.99,193.50,199.34,246.80,175.00,2023-03-15
83,KBL,Kumari Bank Limited,40.31,175.00,179.00,175.00,178.50,177.16,"49,717.00",178.00,"8,807,706.40",236,0.5,4.0,0.28,2.29,0.75,193.33,199.10,243.00,175.00,2023-03-16
83,KBL,Kumari Bank Limited,40.24,179.50,179.50,175.90,178.00,176.89,"62,024.00",178.50,"10,971,232.50",303,-0.5,3.6,-0.28,2.05,0.63,193.16,198.87,243.00,175.00,2023-03-19
82,KBL,Kumari Bank Limited,41.79,179.00,179.00,175.70,178.90,176.96,"65,466.00",178.00,"11,584,645.60",308,0.9,3.3,0.51,1.88,1.09,192.99,198.63,243.00,175.00,2023-03-20
