SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
135,NIBLPF,NIBL Pragati Fund,45.75,8.00,8.10,8.00,8.10,8.00,"2,975.00",7.96,"23,810.00",2,0.14,0.1,1.76,1.25,1.19,9.06,9.64,11.74,7.78,2022-12-07
135,NIBLPF,NIBL Pragati Fund,45.75,8.00,8.10,8.00,8.10,8.00,"2,975.00",7.96,"23,810.00",2,0.14,0.1,1.76,1.25,1.19,9.06,9.64,11.74,7.78,2022-12-09
138,NIBLPF,NIBL Pragati Fund,47.16,8.00,8.00,8.00,8.00,8.00,"4,000.00",8.10,"32,000.00",2,-0.1,0.0,-1.23,0.0,0.0,-,-,11.74,7.78,2022-12-11
134,NIBLPF,NIBL Pragati Fund,44.39,8.15,8.15,7.85,8.00,7.93,"8,978.00",8.00,"71,188.57",7,0.0,0.3,0.0,3.82,0.88,9.01,9.61,11.74,7.78,2022-12-12
135,NIBLPF,NIBL Pragati Fund,48.85,8.05,8.05,8.02,8.05,8.02,"6,793.00",8.00,"54,492.01",6,0.05,0.03,0.63,0.37,0.35,8.99,9.59,11.74,7.78,2022-12-14
140,NIBLPF,NIBL Pragati Fund,39.18,8.05,8.16,8.05,8.05,8.09,"14,806.00",8.05,"119,711.30",9,0.0,0.11,0.0,1.37,-0.44,8.97,9.58,11.74,7.78,2022-12-15
135,NIBLPF,NIBL Pragati Fund,33.78,8.03,8.15,7.99,7.99,8.02,"35,838.00",8.05,"287,437.84",11,-0.06,0.16,-0.75,2.0,-0.38,8.95,9.57,11.74,7.78,2022-12-18
137,NIBLPF,NIBL Pragati Fund,39.2,8.11,8.11,8.11,8.11,8.11,100.00,7.99,811.00,1,0.12,0.0,1.5,0.0,0.0,8.94,9.55,11.74,7.78,2022-12-19
138,NIBLPF,NIBL Pragati Fund,39.2,7.96,7.99,7.96,7.98,7.98,"7,979.00",8.11,"63,642.09",7,-0.13,0.03,-1.6,0.38,0.05,8.92,9.54,11.74,7.78,2022-12-20
137,NIBLPF,NIBL Pragati Fund,37.22,8.00,8.00,7.91,7.91,7.95,"4,499.00",7.98,"35,784.00",4,-0.07,0.09,-0.88,1.14,-0.55,8.90,9.52,11.74,7.78,2022-12-21
133,NIBLPF,NIBL Pragati Fund,32.37,7.82,7.82,7.82,7.82,7.82,"1,900.00",7.91,"14,858.00",1,-0.09,0.0,-1.14,0.0,0.0,8.88,9.51,11.74,7.78,2022-12-22
134,NIBLPF,NIBL Pragati Fund,28.27,7.90,8.11,7.90,8.11,7.93,"8,650.00",7.82,"68,552.75",6,0.29,0.21,3.71,2.66,2.28,8.86,9.49,11.74,7.78,2022-12-26
142,NIBLPF,NIBL Pragati Fund,35.26,8.03,8.20,8.03,8.16,8.11,"21,910.00",8.11,"177,734.23",11,0.05,0.17,0.62,2.12,0.59,8.84,9.48,11.74,7.78,2022-12-27
139,NIBLPF,NIBL Pragati Fund,55.22,8.16,8.36,8.07,8.36,8.25,"24,625.00",8.16,"203,061.95",16,0.2,0.29,2.45,3.59,1.36,8.83,9.46,11.74,7.78,2022-12-28
140,NIBLPF,NIBL Pragati Fund,55.22,8.52,8.67,8.35,8.50,8.51,"27,800.00",8.36,"236,621.00",15,0.14,0.32,1.67,3.83,-0.14,8.82,9.45,11.74,7.78,2022-12-29
144,NIBLPF,NIBL Pragati Fund,54.07,8.64,8.65,8.41,8.41,8.56,"23,100.00",8.50,"197,816.00",8,-0.09,0.24,-1.06,2.85,-1.82,8.81,9.44,11.74,7.78,2023-01-01
136,NIBLPF,NIBL Pragati Fund,54.07,8.28,8.56,8.28,8.55,8.37,"24,769.00",8.41,"207,297.59",9,0.14,0.28,1.66,3.38,2.11,8.80,9.42,11.74,7.78,2023-01-02
139,NIBLPF,NIBL Pragati Fund,55.11,8.38,8.60,8.38,8.60,8.49,"11,070.00",8.55,"93,964.18",8,0.05,0.22,0.58,2.63,1.3,8.79,9.41,11.74,7.78,2023-01-03
139,NIBLPF,NIBL Pragati Fund,49.83,8.74,8.74,8.74,8.74,8.74,100.00,8.60,874.00,1,0.14,0.0,1.63,0.0,0.0,8.78,9.40,11.74,7.78,2023-01-04
137,NIBLPF,NIBL Pragati Fund,54.5,8.74,8.91,8.65,8.65,8.84,"20,173.00",8.74,"178,307.90",16,-0.09,0.26,-1.03,3.01,-2.18,8.77,9.39,11.74,7.78,2023-01-05
140,NIBLPF,NIBL Pragati Fund,55.7,8.64,8.90,8.64,8.90,8.82,"72,774.00",8.65,"641,826.58",11,0.25,0.26,2.89,3.01,0.91,-,-,11.74,7.78,2023-01-08
139,NIBLPF,NIBL Pragati Fund,60.74,8.81,9.10,8.81,9.09,9.04,"89,617.00",8.90,"809,738.68",36,0.19,0.29,2.13,3.29,0.6,8.76,9.37,11.74,7.78,2023-01-09
134,NIBLPF,NIBL Pragati Fund,51.52,9.27,9.32,9.09,9.32,9.11,"7,715.00",9.09,"70,281.15",10,0.23,0.23,2.53,2.53,2.26,8.76,9.36,11.74,7.78,2023-01-10
134,NIBLPF,NIBL Pragati Fund,51.55,9.50,9.50,8.62,9.45,9.02,"25,378.00",9.32,"229,009.36",19,0.13,0.88,1.39,10.21,4.51,8.75,9.35,11.74,7.78,2023-01-12
132,NIBLPF,NIBL Pragati Fund,55.14,9.40,9.40,9.02,9.20,9.15,"17,020.00",9.45,"155,657.90",12,-0.25,0.38,-2.65,4.21,0.59,8.74,9.35,11.74,7.78,2023-01-17
132,NIBLPF,NIBL Pragati Fund,50.12,9.20,9.20,9.02,9.20,9.05,"6,140.00",9.20,"55,565.50",8,0.0,0.18,0.0,2.0,1.63,8.74,9.34,11.74,7.78,2023-01-18
130,NIBLPF,NIBL Pragati Fund,45.6,9.03,9.30,9.00,9.00,9.10,"6,000.00",9.20,"54,571.88",8,-0.2,0.3,-2.17,3.33,-1.06,8.73,9.33,11.74,7.78,2023-01-19
138,NIBLPF,NIBL Pragati Fund,35.22,8.85,8.85,8.85,8.85,8.85,100.00,9.00,885.00,1,-0.15,0.0,-1.67,0.0,0.0,8.72,9.32,11.74,7.78,2023-01-23
