SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
40,EDBL,Excel Development Bank Limited,40.06,304.00,309.00,304.00,306.00,304.76,"13,664.00",309.30,"4,164,206.30",45,-3.3,5.0,-1.07,1.64,0.41,334.88,359.49,620.10,291.20,2022-12-07
40,EDBL,Excel Development Bank Limited,40.06,304.00,309.00,304.00,306.00,304.76,"13,664.00",309.30,"4,164,206.30",45,-3.3,5.0,-1.07,1.64,0.41,334.88,359.49,620.10,291.20,2022-12-09
43,EDBL,Excel Development Bank Limited,41.47,307.00,307.00,297.00,300.00,299.63,"6,182.00",306.00,"1,852,293.00",64,-6.0,10.0,-1.96,3.37,0.12,-,-,615.00,291.20,2022-12-11
43,EDBL,Excel Development Bank Limited,34.22,305.00,306.00,300.20,304.00,304.06,"5,710.00",300.00,"1,736,205.00",43,4.0,5.8,1.33,1.93,-0.02,334.03,357.66,615.00,291.20,2022-12-12
43,EDBL,Excel Development Bank Limited,27.62,299.10,309.50,299.10,303.00,304.68,"2,361.00",304.00,"719,357.50",20,-1.0,10.4,-0.33,3.48,-0.56,333.64,356.76,615.00,291.20,2022-12-13
43,EDBL,Excel Development Bank Limited,25.38,309.00,309.00,298.00,306.00,302.25,"8,315.00",303.00,"2,513,216.00",39,3.0,11.0,0.99,3.69,1.23,333.44,355.80,615.00,291.20,2022-12-14
43,EDBL,Excel Development Bank Limited,31.57,300.00,303.00,299.90,302.50,300.89,"7,160.00",306.00,"2,154,393.10",38,-3.5,3.1,-1.14,1.03,0.53,333.09,354.80,615.00,291.20,2022-12-15
44,EDBL,Excel Development Bank Limited,43.39,297.00,302.00,296.00,298.50,297.82,"10,928.00",302.50,"3,254,627.60",55,-4.0,6.0,-1.32,2.03,0.23,332.79,353.76,615.00,291.20,2022-12-18
44,EDBL,Excel Development Bank Limited,30.01,298.00,300.00,294.00,300.00,297.77,"4,132.00",298.50,"1,230,403.20",22,1.5,6.0,0.5,2.04,0.74,332.58,352.80,615.00,291.20,2022-12-19
44,EDBL,Excel Development Bank Limited,30.01,300.00,306.00,299.90,304.80,303.09,"5,602.00",300.00,"1,697,913.90",28,4.8,6.1,1.6,2.03,0.56,332.37,351.99,615.00,291.20,2022-12-20
44,EDBL,Excel Development Bank Limited,32.9,310.80,310.80,298.80,300.00,299.95,"16,634.00",304.80,"4,989,440.80",40,-4.8,12.0,-1.57,4.02,0.02,331.89,351.20,615.00,291.20,2022-12-21
42,EDBL,Excel Development Bank Limited,37.13,294.00,302.00,294.00,297.50,299.51,"15,227.00",300.00,"4,560,710.80",35,-2.5,8.0,-0.83,2.72,-0.68,331.54,350.41,615.00,291.20,2022-12-22
40,EDBL,Excel Development Bank Limited,39.87,303.40,315.00,303.40,310.30,311.05,"13,800.00",297.50,"4,292,470.40",59,12.8,11.6,4.3,3.82,-0.24,331.37,349.61,615.00,291.20,2022-12-26
44,EDBL,Excel Development Bank Limited,47.76,312.00,326.80,312.00,322.00,320.53,"61,197.00",310.30,"19,615,493.70",149,11.7,14.80,3.77,4.74,0.46,331.20,348.93,615.00,291.20,2022-12-27
45,EDBL,Excel Development Bank Limited,52.85,316.00,327.70,310.00,324.70,322.49,"28,724.00",322.00,"9,263,269.70",103,2.7,17.7,0.84,5.71,0.68,330.82,348.27,615.00,291.20,2022-12-28
45,EDBL,Excel Development Bank Limited,52.85,324.70,336.40,323.00,335.00,331.78,"21,815.00",324.70,"7,237,777.30",109,10.3,13.4,3.17,4.15,0.96,330.60,347.72,615.00,291.20,2022-12-29
47,EDBL,Excel Development Bank Limited,56.35,341.00,341.70,329.00,336.00,334.19,"69,824.00",335.00,"23,334,349.20",182,1.0,12.70,0.3,3.86,0.54,330.26,347.23,615.00,291.20,2023-01-01
44,EDBL,Excel Development Bank Limited,56.35,329.30,340.00,323.00,339.00,337.54,"15,708.00",336.00,"5,302,011.20",94,3.0,17.0,0.89,5.26,0.43,329.99,346.80,615.00,291.20,2023-01-02
45,EDBL,Excel Development Bank Limited,48.51,334.00,342.00,334.00,336.00,335.91,"14,862.00",339.00,"4,992,351.50",68,-3.0,8.0,-0.88,2.4,0.03,329.85,346.24,615.00,291.20,2023-01-03
46,EDBL,Excel Development Bank Limited,50.06,340.00,346.00,337.10,344.00,343.28,"25,680.00",336.00,"8,815,426.00",105,8.0,8.9,2.38,2.64,0.21,329.66,345.78,615.00,291.20,2023-01-04
44,EDBL,Excel Development Bank Limited,58.56,349.00,360.00,344.00,360.00,350.21,"83,252.00",344.00,"29,155,553.50",220,16.0,16.0,4.65,4.65,2.72,329.59,345.46,615.00,291.20,2023-01-05
47,EDBL,Excel Development Bank Limited,59.76,361.00,371.20,352.90,360.00,364.37,"49,079.00",360.00,"17,882,678.10",160,0.00,18.30,0.0,5.19,-1.21,-,-,615.00,291.20,2023-01-08
44,EDBL,Excel Development Bank Limited,60.2,364.90,377.00,364.00,370.00,371.60,"89,948.00",360.00,"33,425,018.40",245,10.0,13.0,2.78,3.57,-0.43,329.80,344.75,615.00,291.20,2023-01-09
43,EDBL,Excel Development Bank Limited,56.32,377.40,396.00,368.60,370.00,381.60,"80,783.00",370.00,"30,827,083.40",315,0.0,27.4,0.0,7.43,-3.14,330.18,344.53,615.00,291.20,2023-01-10
43,EDBL,Excel Development Bank Limited,56.34,375.00,392.00,364.00,366.00,376.20,"69,258.00",370.00,"26,055,039.50",247,-4.0,28.0,-1.08,7.69,-2.79,330.41,344.27,615.00,291.20,2023-01-12
44,EDBL,Excel Development Bank Limited,49.87,366.00,379.00,360.00,375.00,371.37,"37,240.00",366.00,"13,829,837.70",127,9.0,19.0,2.46,5.28,0.97,330.76,344.12,615.00,291.20,2023-01-17
44,EDBL,Excel Development Bank Limited,50.22,381.00,385.00,366.30,367.00,376.40,"37,439.00",375.00,"14,091,955.10",118,-8.0,18.7,-2.13,5.11,-2.56,331.10,343.91,615.00,291.20,2023-01-18
43,EDBL,Excel Development Bank Limited,46.39,360.00,375.10,360.00,368.90,370.03,"19,809.00",367.00,"7,329,894.30",82,1.9,15.1,0.52,4.19,-0.31,331.45,343.57,600.00,291.20,2023-01-19
45,EDBL,Excel Development Bank Limited,42.82,365.00,366.00,357.70,357.90,362.44,"25,051.00",368.90,"9,079,483.60",72,-11.0,8.3,-2.98,2.32,-1.27,331.59,343.24,600.00,291.20,2023-01-23
44,EDBL,Excel Development Bank Limited,40.33,350.90,362.00,350.00,362.00,353.31,"44,431.00",357.90,"15,698,101.20",140,4.1,12.0,1.15,3.43,2.4,331.71,342.95,590.50,291.20,2023-01-24
43,EDBL,Excel Development Bank Limited,42.6,364.90,369.00,355.40,361.00,363.09,"16,288.00",362.00,"5,914,043.00",105,-1.0,13.6,-0.28,3.83,-0.58,331.84,342.63,590.50,291.20,2023-01-25
41,EDBL,Excel Development Bank Limited,40.81,363.00,366.00,350.10,354.00,356.19,"19,771.00",361.00,"7,042,193.20",103,-7.0,15.9,-1.94,4.54,-0.62,331.94,342.31,590.50,291.20,2023-01-26
44,EDBL,Excel Development Bank Limited,38.27,350.00,359.90,342.50,345.00,351.41,"18,104.00",354.00,"6,361,951.10",86,-9.0,17.4,-2.54,5.08,-1.86,332.02,342.03,590.50,291.20,2023-01-29
44,EDBL,Excel Development Bank Limited,37.02,340.20,349.00,337.20,339.00,341.68,"39,482.00",345.00,"13,490,363.60",135,-6.0,11.8,-1.74,3.5,-0.79,331.93,341.76,590.50,291.20,2023-01-30
42,EDBL,Excel Development Bank Limited,39.73,335.00,346.80,331.00,341.00,338.61,"56,815.00",339.00,"19,237,917.40",143,2.0,15.8,0.59,4.77,0.7,331.64,341.53,590.50,291.20,2023-01-31
41,EDBL,Excel Development Bank Limited,39.03,341.00,350.70,338.00,348.00,346.01,"31,316.00",341.00,"10,835,676.70",179,7.0,12.7,2.05,3.76,0.57,331.51,341.30,590.50,291.20,2023-02-01
43,EDBL,Excel Development Bank Limited,38.43,341.10,354.00,339.00,345.00,343.07,"18,450.00",348.00,"6,329,632.40",121,-3.0,15.0,-0.86,4.42,0.56,331.36,341.00,590.50,291.20,2023-02-02
46,EDBL,Excel Development Bank Limited,48.39,351.80,351.80,338.10,348.00,340.59,"13,620.00",345.00,"4,638,810.30",94,3.0,13.7,0.87,4.05,2.13,330.94,340.66,568.00,291.20,2023-02-05
43,EDBL,Excel Development Bank Limited,40.05,338.30,360.80,338.30,360.00,353.34,"53,459.00",344.80,"18,888,950.10",238,15.2,22.5,4.41,6.65,1.85,329.75,340.02,568.00,291.20,2023-02-07
