SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
201,SDBD87,"9% Shangrila Development Bank Debenture, 2087",26.03,756.00,757.10,756.00,757.10,756.55,50.00,756.00,"37,827.50",2,1.1,1.1,0.15,0.15,0.07,-,-,"1,000.10",756.00,2022-12-13
202,SDBD87,"9% Shangrila Development Bank Debenture, 2087",28.88,757.10,757.10,757.00,757.00,757.05,100.00,757.10,"75,705.30",3,-0.1,0.1,-0.01,0.01,-0.01,-,-,"1,000.10",756.00,2022-12-18
202,SDBD87,"9% Shangrila Development Bank Debenture, 2087",33.31,754.30,754.30,754.30,754.30,754.30,25.00,757.00,"18,857.50",1,-2.7,0.0,-0.36,0.0,0.0,-,-,"1,000.10",754.30,2022-12-19
207,SDBD87,"9% Shangrila Development Bank Debenture, 2087",33.31,756.30,756.30,756.30,756.30,756.30,120.00,754.30,"90,756.00",3,2.0,0.0,0.27,0.0,0.0,-,-,"1,000.10",754.30,2022-12-20
201,SDBD87,"9% Shangrila Development Bank Debenture, 2087",40.51,771.40,771.40,771.40,771.40,771.40,75.00,756.30,"57,855.00",2,15.1,0.0,2.0,0.0,0.0,-,-,"1,000.10",754.30,2022-12-26
211,SDBD87,"9% Shangrila Development Bank Debenture, 2087",44.46,771.40,771.40,771.40,771.40,771.40,25.00,771.40,"19,285.00",1,0.0,0.00,0.0,0.0,0.0,-,-,"1,000.10",754.30,2022-12-27
211,SDBD87,"9% Shangrila Development Bank Debenture, 2087",44.9,771.40,771.40,771.40,771.40,771.40,25.00,771.40,"19,285.00",1,0.0,0.00,0.0,0.0,0.0,-,-,"1,000.10",754.30,2023-01-01
208,SDBD87,"9% Shangrila Development Bank Debenture, 2087",50.07,786.80,786.80,786.80,786.80,786.80,100.00,771.40,"78,680.00",1,15.4,0.0,2.0,0.0,0.0,-,-,"1,000.10",754.30,2023-01-04
204,SDBD87,"9% Shangrila Development Bank Debenture, 2087",57.42,786.00,786.00,786.00,786.00,786.00,30.00,786.80,"23,580.00",1,-0.8,0.0,-0.1,0.0,0.0,-,-,"1,000.10",754.30,2023-01-10
201,SDBD87,"9% Shangrila Development Bank Debenture, 2087",57.45,801.70,801.70,801.70,801.70,801.70,200.00,786.00,"160,340.00",2,15.7,0.0,2.0,0.0,0.0,-,-,"1,000.00",754.30,2023-01-12
206,SDBD87,"9% Shangrila Development Bank Debenture, 2087",62.13,790.00,790.00,780.00,780.00,787.67,300.00,801.70,"236,300.00",5,-21.7,10.0,-2.71,1.28,-0.98,0.00,0.00,941.20,754.30,2023-01-23
208,SDBD87,"9% Shangrila Development Bank Debenture, 2087",62.18,780.00,780.00,780.00,780.00,780.00,150.00,780.00,"117,000.00",2,0.0,0.0,0.0,0.0,0.0,0.00,0.00,903.00,754.30,2023-01-25
213,SDBD87,"9% Shangrila Development Bank Debenture, 2087",43.45,780.00,780.00,780.00,780.00,780.00,200.00,780.00,"156,000.00",1,0.0,0.0,0.0,0.0,0.0,0.00,0.00,902.50,754.30,2023-01-29
206,SDBD87,"9% Shangrila Development Bank Debenture, 2087",41.28,764.40,764.40,764.40,764.40,764.40,25.00,780.00,"19,110.00",1,-15.6,0.0,-2.0,0.0,0.0,0.00,0.00,902.50,754.30,2023-02-01
205,SDBD87,"9% Shangrila Development Bank Debenture, 2087",34.4,750.10,750.10,750.10,750.10,750.10,25.00,764.40,"18,752.50",1,-14.3,0.0,-1.87,0.0,0.0,878.13,0.00,902.50,750.10,2023-02-05
201,SDBD87,"9% Shangrila Development Bank Debenture, 2087",35.24,755.00,755.00,755.00,755.00,755.00,30.00,750.10,"22,650.00",1,4.9,0.0,0.65,0.0,0.0,876.09,0.00,902.50,750.10,2023-02-12
215,SDBD87,"9% Shangrila Development Bank Debenture, 2087",40.55,770.00,770.00,770.00,770.00,770.00,300.00,755.00,"231,000.00",2,15.0,0.0,1.99,0.0,0.0,874.50,0.00,902.50,750.10,2023-02-22
