SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
238,UMRH,United Idi-Mardi and R.B. Hydropower Limited,29.03,410.20,418.40,402.00,412.00,407.13,"6,550.00",418.50,"2,666,682.40",63,-6.5,16.4,-1.55,4.08,1.18,575.06,669.28,"1,150.00",400.00,2022-12-07
238,UMRH,United Idi-Mardi and R.B. Hydropower Limited,29.03,410.20,418.40,402.00,412.00,407.13,"6,550.00",418.50,"2,666,682.40",63,-6.5,16.4,-1.55,4.08,1.18,575.06,669.28,"1,150.00",400.00,2022-12-09
244,UMRH,United Idi-Mardi and R.B. Hydropower Limited,30.44,405.00,406.00,400.00,406.00,402.38,"3,077.00",412.00,"1,238,113.50",38,-6.0,6.0,-1.46,1.5,0.89,-,-,"1,150.00",400.00,2022-12-11
237,UMRH,United Idi-Mardi and R.B. Hydropower Limited,30.74,405.00,411.00,403.20,407.90,406.05,"2,340.00",406.00,"950,166.00",35,1.9,7.8,0.47,1.93,0.45,570.34,663.94,"1,150.00",400.00,2022-12-12
241,UMRH,United Idi-Mardi and R.B. Hydropower Limited,28.83,415.00,417.00,409.00,416.90,412.43,"2,494.00",407.90,"1,028,605.00",28,9.0,8.0,2.21,1.96,1.07,568.22,661.44,"1,150.00",400.00,2022-12-13
238,UMRH,United Idi-Mardi and R.B. Hydropower Limited,28.87,415.00,416.00,409.50,416.00,410.93,"1,480.00",416.90,"608,183.00",16,-0.9,6.5,-0.22,1.59,1.22,566.38,658.93,"1,150.00",400.00,2022-12-14
246,UMRH,United Idi-Mardi and R.B. Hydropower Limited,39.55,408.00,410.00,402.50,402.60,404.77,"1,541.00",416.00,"623,758.00",20,-13.4,7.5,-3.22,1.86,-0.54,564.25,656.25,"1,150.00",400.00,2022-12-15
243,UMRH,United Idi-Mardi and R.B. Hydropower Limited,34.01,398.00,405.00,396.90,396.90,400.12,"3,639.00",402.60,"1,456,029.50",40,-5.7,8.1,-1.42,2.04,-0.81,562.43,653.42,"1,150.00",396.90,2022-12-18
243,UMRH,United Idi-Mardi and R.B. Hydropower Limited,26.08,392.00,401.00,392.00,399.00,396.96,"1,875.00",396.90,"744,300.00",24,2.1,9.0,0.53,2.3,0.51,560.53,650.10,"1,150.00",392.00,2022-12-19
249,UMRH,United Idi-Mardi and R.B. Hydropower Limited,26.08,395.00,410.70,395.00,402.50,407.70,"1,250.00",399.00,"509,627.00",12,3.5,15.7,0.88,3.97,-1.29,558.79,646.78,"1,150.00",392.00,2022-12-20
244,UMRH,United Idi-Mardi and R.B. Hydropower Limited,31.21,400.20,400.20,396.00,396.00,397.91,"2,135.00",402.50,"849,540.20",18,-6.5,4.2,-1.61,1.06,-0.48,556.55,643.45,"1,150.00",392.00,2022-12-21
239,UMRH,United Idi-Mardi and R.B. Hydropower Limited,36.01,401.90,403.00,390.00,391.00,393.08,"3,676.00",396.00,"1,444,945.00",31,-5.0,13.0,-1.26,3.33,-0.53,554.32,640.14,"1,150.00",390.00,2022-12-22
243,UMRH,United Idi-Mardi and R.B. Hydropower Limited,39.09,398.80,410.90,394.10,407.00,405.25,"6,023.00",391.00,"2,440,831.50",57,16.0,16.8,4.09,4.26,0.43,552.48,636.57,"1,150.00",390.00,2022-12-26
253,UMRH,United Idi-Mardi and R.B. Hydropower Limited,48.14,415.10,430.00,415.10,423.00,424.28,"14,115.00",407.00,"5,988,705.00",97,16.0,14.90,3.93,3.59,-0.3,550.50,632.63,"1,150.00",390.00,2022-12-27
249,UMRH,United Idi-Mardi and R.B. Hydropower Limited,52.86,420.00,432.00,414.00,414.00,422.42,"6,981.00",423.00,"2,948,925.20",66,-9.0,18.0,-2.13,4.35,-2.03,548.41,628.95,"1,150.00",390.00,2022-12-28
249,UMRH,United Idi-Mardi and R.B. Hydropower Limited,52.86,414.00,440.00,412.00,438.00,432.69,"13,188.00",414.00,"5,706,362.60",110,24.0,28.0,5.8,6.8,1.21,546.60,625.60,"1,150.00",390.00,2022-12-29
253,UMRH,United Idi-Mardi and R.B. Hydropower Limited,56.35,446.00,454.00,434.00,434.00,445.82,"17,317.00",438.00,"7,720,227.20",148,-4.0,20.00,-0.91,4.61,-2.72,544.41,622.58,"1,150.00",390.00,2023-01-01
246,UMRH,United Idi-Mardi and R.B. Hydropower Limited,56.35,428.00,472.00,428.00,471.00,459.69,"20,572.00",434.00,"9,456,697.20",192,37.0,44.0,8.53,10.28,2.4,542.51,619.65,"1,150.00",390.00,2023-01-02
249,UMRH,United Idi-Mardi and R.B. Hydropower Limited,57.85,480.00,484.00,458.00,462.00,473.05,"16,228.00",471.00,"7,676,693.50",147,-9.0,26.0,-1.91,5.68,-2.39,540.67,616.57,"1,150.00",390.00,2023-01-03
250,UMRH,United Idi-Mardi and R.B. Hydropower Limited,59.26,460.00,503.80,460.00,499.00,492.29,"25,107.00",462.00,"12,359,997.10",232,37.0,43.8,8.01,9.52,1.34,539.09,613.82,"1,150.00",390.00,2023-01-04
251,UMRH,United Idi-Mardi and R.B. Hydropower Limited,60.19,508.90,519.00,495.00,503.80,503.47,"16,227.00",499.00,"8,169,731.40",154,4.8,24.0,0.96,4.85,0.07,537.62,611.24,"1,150.00",390.00,2023-01-05
251,UMRH,United Idi-Mardi and R.B. Hydropower Limited,61.39,513.80,533.00,505.00,518.90,516.07,"18,659.00",503.80,"9,629,318.30",160,15.10,28.00,3.0,5.54,0.55,-,-,"1,150.00",390.00,2023-01-08
249,UMRH,United Idi-Mardi and R.B. Hydropower Limited,57.04,509.00,535.20,505.30,524.00,525.51,"15,538.00",518.90,"8,165,373.80",135,5.1,29.9,0.98,5.92,-0.29,535.08,606.76,"1,150.00",390.00,2023-01-09
246,UMRH,United Idi-Mardi and R.B. Hydropower Limited,53.49,530.00,557.00,500.00,510.00,529.29,"35,011.00",524.00,"18,531,071.00",253,-14.0,57.0,-2.67,11.4,-3.78,533.88,604.72,"1,150.00",390.00,2023-01-10
244,UMRH,United Idi-Mardi and R.B. Hydropower Limited,53.52,520.20,539.90,482.20,495.00,503.34,"19,350.00",510.00,"9,739,689.70",192,-15.0,57.7,-2.94,11.97,-1.69,532.15,602.59,"1,150.00",390.00,2023-01-12
242,UMRH,United Idi-Mardi and R.B. Hydropower Limited,46.94,493.50,519.90,490.00,515.00,506.17,"8,756.00",495.00,"4,432,015.60",99,20.0,29.9,4.04,6.1,1.71,530.33,600.61,"1,150.00",390.00,2023-01-17
240,UMRH,United Idi-Mardi and R.B. Hydropower Limited,45.94,524.00,535.80,509.00,519.00,522.59,"17,381.00",515.00,"9,083,193.30",124,4.0,26.8,0.78,5.27,-0.69,528.58,598.79,"1,150.00",390.00,2023-01-18
239,UMRH,United Idi-Mardi and R.B. Hydropower Limited,48.19,510.00,524.50,509.00,523.00,520.25,"7,936.00",519.00,"4,128,704.80",77,4.0,15.5,0.77,3.05,0.53,527.01,596.59,"1,150.00",390.00,2023-01-19
249,UMRH,United Idi-Mardi and R.B. Hydropower Limited,44.83,516.00,535.00,500.00,515.90,522.71,"13,690.00",523.00,"7,155,837.00",102,-7.1,35.0,-1.36,7.0,-1.32,525.31,594.49,"1,150.00",390.00,2023-01-23
241,UMRH,United Idi-Mardi and R.B. Hydropower Limited,46.59,521.90,521.90,499.00,515.00,504.61,"10,735.00",515.90,"5,416,975.00",86,-0.9,22.9,-0.17,4.59,2.02,523.70,592.58,"1,150.00",390.00,2023-01-24
253,UMRH,United Idi-Mardi and R.B. Hydropower Limited,43.33,525.00,545.00,504.30,521.10,527.16,"9,739.00",515.00,"5,134,011.00",105,6.1,40.7,1.18,8.07,-1.16,522.28,590.71,"1,150.00",390.00,2023-01-25
246,UMRH,United Idi-Mardi and R.B. Hydropower Limited,44.41,510.70,565.00,510.70,551.00,551.05,"46,610.00",521.10,"25,684,317.20",366,29.9,54.3,5.74,10.63,-0.01,521.09,589.10,"1,150.00",390.00,2023-01-26
259,UMRH,United Idi-Mardi and R.B. Hydropower Limited,50.5,550.00,590.00,530.00,590.00,564.11,"33,807.00",551.00,"19,070,870.30",256,39.0,60.0,7.08,11.32,4.39,520.28,587.76,"1,150.00",390.00,2023-01-29
248,UMRH,United Idi-Mardi and R.B. Hydropower Limited,54.38,590.00,590.00,547.90,547.90,563.36,"30,139.00",590.00,"16,979,215.70",207,-42.1,42.1,-7.14,7.68,-2.82,518.99,586.40,"1,150.00",390.00,2023-01-30
251,UMRH,United Idi-Mardi and R.B. Hydropower Limited,49.94,538.10,579.00,538.10,558.00,550.79,"17,809.00",547.90,"9,808,950.30",151,10.1,40.9,1.84,7.6,1.29,517.63,585.28,"1,150.00",390.00,2023-01-31
253,UMRH,United Idi-Mardi and R.B. Hydropower Limited,45.81,552.10,570.00,552.10,564.90,561.10,"9,229.00",558.00,"5,178,435.50",67,6.9,17.9,1.24,3.24,0.67,516.55,584.28,"1,150.00",390.00,2023-02-01
249,UMRH,United Idi-Mardi and R.B. Hydropower Limited,44.16,564.00,574.00,545.00,550.00,556.70,"15,518.00",564.90,"8,638,840.50",101,-14.9,29.0,-2.64,5.32,-1.22,515.36,583.10,"1,150.00",390.00,2023-02-02
250,UMRH,United Idi-Mardi and R.B. Hydropower Limited,40.26,541.50,558.00,541.50,546.00,551.37,"8,153.00",550.00,"4,495,333.50",72,-4.0,16.5,-0.73,3.05,-0.98,514.18,581.56,"1,150.00",390.00,2023-02-05
252,UMRH,United Idi-Mardi and R.B. Hydropower Limited,31.87,549.70,582.40,549.70,581.00,567.66,"14,223.00",539.00,"8,073,891.70",157,42.0,32.7,7.79,5.95,2.3,511.27,578.49,"1,150.00",390.00,2023-02-07
249,UMRH,United Idi-Mardi and R.B. Hydropower Limited,48.43,577.90,577.90,551.00,562.00,562.15,"9,308.00",568.00,"5,232,470.00",56,-6.0,26.9,-1.06,4.88,-0.03,507.47,575.69,"1,150.00",390.00,2023-02-09
246,UMRH,United Idi-Mardi and R.B. Hydropower Limited,40.08,551.00,554.00,540.00,543.90,545.28,"10,820.00",562.00,"5,899,883.00",75,-18.1,14.0,-3.22,2.59,-0.25,504.92,574.24,"1,150.00",390.00,2023-02-12
248,UMRH,United Idi-Mardi and R.B. Hydropower Limited,29.54,540.10,543.00,529.20,530.00,534.60,"7,066.00",543.90,"3,777,463.00",63,-13.90,13.8,-2.56,2.61,-0.87,502.93,572.77,"1,150.00",390.00,2023-02-14
248,UMRH,United Idi-Mardi and R.B. Hydropower Limited,31.98,527.00,527.10,512.00,514.10,521.57,"7,293.00",528.00,"3,803,822.40",86,-13.90,15.10,-2.63,2.95,-1.45,499.69,569.47,"1,150.00",390.00,2023-02-16
250,UMRH,United Idi-Mardi and R.B. Hydropower Limited,24.82,505.30,515.00,505.30,509.00,509.72,"2,821.00",514.10,"1,437,910.00",37,-5.1,9.7,-0.99,1.92,-0.14,498.06,567.92,"1,150.00",390.00,2023-02-20
261,UMRH,United Idi-Mardi and R.B. Hydropower Limited,30.91,510.00,538.00,510.00,530.00,523.60,"3,757.00",509.00,"1,967,162.10",61,21.0,28.0,4.13,5.49,1.21,496.88,566.42,"1,150.00",390.00,2023-02-22
252,UMRH,United Idi-Mardi and R.B. Hydropower Limited,28.31,520.00,520.00,506.10,515.00,512.10,"9,158.00",530.00,"4,689,772.50",45,-15.0,13.9,-2.83,2.75,0.56,495.61,564.67,"1,150.00",390.00,2023-02-23
254,UMRH,United Idi-Mardi and R.B. Hydropower Limited,44.65,505.00,535.00,495.00,525.00,504.79,"6,653.00",515.00,"3,358,341.40",71,10.0,40.0,1.94,8.08,3.85,494.51,563.24,"1,150.00",390.00,2023-02-26
253,UMRH,United Idi-Mardi and R.B. Hydropower Limited,29.83,505.00,523.00,505.00,513.90,513.29,"4,667.00",509.10,"2,395,533.70",36,4.8,18.0,0.94,3.56,0.12,492.03,560.58,"1,150.00",390.00,2023-02-28
