SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
177,RBCLPO,Rastriya Beema Company Limited Promoter Share,25.52,"10,101.00","10,101.00","9,951.00","9,951.00","10,051.00",30.00,"10,101.00","301,530.00",2,-150.0,150.0,-1.49,1.51,-1.0,"10,881.41","12,200.90","18,588.00","9,663.00",2022-12-07
177,RBCLPO,Rastriya Beema Company Limited Promoter Share,25.52,"10,101.00","10,101.00","9,951.00","9,951.00","10,051.00",30.00,"10,101.00","301,530.00",2,-150.0,150.0,-1.49,1.51,-1.0,"10,881.41","12,200.90","18,588.00","9,663.00",2022-12-09
180,RBCLPO,Rastriya Beema Company Limited Promoter Share,26.93,"10,150.00","10,150.00","9,947.00","10,000.00","10,024.25",40.00,"9,951.00","400,970.00",3,49.0,203.0,0.49,2.04,-0.24,-,-,"18,588.00","9,663.00",2022-12-11
178,RBCLPO,Rastriya Beema Company Limited Promoter Share,33.64,"10,198.00","10,200.00","10,051.00","10,051.00","10,168.40",50.00,"10,000.00","508,420.00",5,51.0,149.0,0.51,1.48,-1.17,"10,846.09","12,144.23","18,588.00","9,663.00",2022-12-12
176,RBCLPO,Rastriya Beema Company Limited Promoter Share,39.97,"10,252.00","10,252.00","10,252.00","10,252.00","10,252.00",10.00,"10,051.00","102,520.00",1,201.0,0.0,2.0,0.0,0.0,"10,834.86","12,119.63","18,588.00","9,663.00",2022-12-13
177,RBCLPO,Rastriya Beema Company Limited Promoter Share,40.72,"10,201.00","10,201.00","10,200.00","10,200.00","10,200.67",30.00,"10,252.00","306,020.00",2,-52.0,1.0,-0.51,0.01,-0.01,"10,826.53","12,093.11","18,588.00","9,663.00",2022-12-14
184,RBCLPO,Rastriya Beema Company Limited Promoter Share,41.62,"10,100.00","10,100.00","10,050.00","10,050.00","10,066.67",30.00,"10,200.00","302,000.00",3,-150.0,50.0,-1.47,0.5,-0.17,"10,818.60","12,057.55","18,588.00","9,663.00",2022-12-15
179,RBCLPO,Rastriya Beema Company Limited Promoter Share,41.35,"10,000.00","10,000.10","10,000.00","10,000.00","10,000.05",40.00,"10,050.00","400,002.00",3,-50.0,0.1,-0.5,0.0,0.0,"10,810.10","12,024.19","18,588.00","9,663.00",2022-12-18
179,RBCLPO,Rastriya Beema Company Limited Promoter Share,33.17,"10,100.00","10,200.00","9,900.00","10,000.00","10,002.67",380.00,"10,000.00","3,801,013.00",11,0.0,300.0,0.0,3.03,-0.03,"10,799.77","11,989.13","18,588.00","9,663.00",2022-12-19
183,RBCLPO,Rastriya Beema Company Limited Promoter Share,33.17,"10,000.00","10,000.00","10,000.00","10,000.00","10,000.00",50.00,"10,000.00","500,000.00",2,0.0,0.0,0.0,0.0,0.0,"10,793.14","11,950.41","18,588.00","9,663.00",2022-12-20
