SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
150,NLICL,National Life Insurance Company Limited,36.2,516.00,516.00,504.00,505.00,506.40,"5,883.00",511.00,"2,979,175.50",53,-6.0,12.0,-1.17,2.38,-0.28,565.77,619.76,"1,179.00",499.10,2022-12-07
150,NLICL,National Life Insurance Company Limited,36.2,516.00,516.00,504.00,505.00,506.40,"5,883.00",511.00,"2,979,175.50",53,-6.0,12.0,-1.17,2.38,-0.28,565.77,619.76,"1,179.00",499.10,2022-12-09
153,NLICL,National Life Insurance Company Limited,37.61,508.90,508.90,500.00,500.00,501.20,"11,653.00",505.00,"5,840,535.00",99,-5.0,8.9,-0.99,1.78,-0.24,-,-,"1,179.00",499.10,2022-12-11
150,NLICL,National Life Insurance Company Limited,37.89,499.00,509.00,495.70,505.00,501.64,"13,887.00",500.00,"6,966,313.90",82,5.0,13.3,1.0,2.68,0.66,564.86,615.71,"1,179.00",495.70,2022-12-12
149,NLICL,National Life Insurance Company Limited,42.26,505.00,505.00,496.30,500.00,499.22,"7,551.00",505.00,"3,769,643.30",52,-5.0,8.7,-0.99,1.75,0.16,564.50,613.72,"1,179.00",495.70,2022-12-13
150,NLICL,National Life Insurance Company Limited,37.31,501.00,505.00,500.00,502.00,502.35,"16,341.00",500.00,"8,208,827.60",68,2.0,5.0,0.4,1.0,-0.07,564.32,611.71,"1,179.00",495.70,2022-12-14
156,NLICL,National Life Insurance Company Limited,40.9,495.10,502.70,495.00,496.30,499.15,"10,536.00",502.00,"5,259,011.80",71,-5.7,7.7,-1.14,1.56,-0.57,563.96,609.58,"1,179.00",495.00,2022-12-15
150,NLICL,National Life Insurance Company Limited,37.33,497.00,500.00,492.00,495.60,493.78,"6,394.00",496.30,"3,157,203.90",57,-0.7,8.0,-0.14,1.63,0.37,563.66,607.50,"1,179.00",492.00,2022-12-18
151,NLICL,National Life Insurance Company Limited,34.91,499.00,499.00,495.00,497.90,498.38,"3,098.00",495.60,"1,543,982.00",32,2.3,4.0,0.46,0.81,-0.1,563.53,605.26,"1,179.00",492.00,2022-12-19
154,NLICL,National Life Insurance Company Limited,34.91,500.00,503.00,499.00,502.90,501.45,"14,867.00",497.90,"7,455,050.00",71,5.0,4.0,1.0,0.8,0.29,563.48,603.27,"1,179.00",492.00,2022-12-20
152,NLICL,National Life Insurance Company Limited,42.98,493.10,502.00,493.10,502.00,497.85,"7,250.00",502.90,"3,609,440.20",52,-0.9,8.9,-0.18,1.8,0.83,563.15,601.36,"1,179.00",492.00,2022-12-21
147,NLICL,National Life Insurance Company Limited,38.91,501.00,502.00,495.10,497.00,496.64,"3,099.00",502.00,"1,539,101.80",41,-5.0,6.9,-1.0,1.39,0.07,562.82,599.46,"1,179.00",492.00,2022-12-22
