SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
24,CBLD88,10.25% Civil Bank Debenture 2088,29.55,840.00,840.00,840.00,840.00,840.00,25.00,850.00,"21,000.00",1,-10.0,0.0,-1.18,0.0,0.0,-,-,"1,000.00",834.30,2022-12-12
24,CBLD88,10.25% Civil Bank Debenture 2088,39.14,836.00,836.00,836.00,836.00,836.00,25.00,840.00,"20,900.00",1,-4.0,0.0,-0.48,0.0,0.0,-,-,"1,000.00",834.30,2022-12-13
23,CBLD88,10.25% Civil Bank Debenture 2088,31.91,838.00,838.00,838.00,838.00,838.00,25.00,836.00,"20,950.00",1,2.0,0.0,0.24,0.0,0.0,-,-,"1,000.00",834.30,2022-12-14
23,CBLD88,10.25% Civil Bank Debenture 2088,24.91,838.00,838.00,838.00,838.00,838.00,25.00,838.00,"20,950.00",1,0.0,0.0,0.0,0.0,0.0,-,-,"1,000.00",834.30,2022-12-18
24,CBLD88,10.25% Civil Bank Debenture 2088,40.28,838.50,840.00,838.50,839.00,839.18,65.00,838.00,"54,546.50",3,1.0,1.5,0.12,0.18,-0.02,-,-,"1,000.00",834.30,2022-12-19
23,CBLD88,10.25% Civil Bank Debenture 2088,40.28,838.50,850.00,838.50,850.00,844.25,50.00,839.00,"42,212.50",2,11.0,11.5,1.31,1.37,0.68,-,-,"1,000.00",834.30,2022-12-20
25,CBLD88,10.25% Civil Bank Debenture 2088,37.91,850.00,850.00,850.00,850.00,850.00,25.00,850.00,"21,250.00",1,0.0,0.0,0.0,0.0,0.0,-,-,"1,000.00",834.30,2022-12-21
24,CBLD88,10.25% Civil Bank Debenture 2088,42.3,841.00,850.00,840.00,850.00,843.11,225.00,850.00,"189,700.00",5,0.0,10.00,0.0,1.19,0.81,-,-,"1,000.00",834.30,2022-12-27
25,CBLD88,10.25% Civil Bank Debenture 2088,48.41,850.00,850.00,850.00,850.00,850.00,50.00,850.00,"42,500.00",1,0.0,0.0,0.0,0.0,0.0,-,-,"1,000.00",834.30,2022-12-28
25,CBLD88,10.25% Civil Bank Debenture 2088,48.41,851.00,851.00,851.00,851.00,851.00,15.00,850.00,"12,765.00",1,1.0,0.0,0.12,0.0,0.0,-,-,"1,000.00",834.30,2022-12-29
26,CBLD88,10.25% Civil Bank Debenture 2088,53.27,865.00,868.00,865.00,868.00,865.60,125.00,851.00,"108,200.00",2,17.0,3.00,2.0,0.35,0.28,-,-,"1,000.00",834.30,2023-01-01
26,CBLD88,10.25% Civil Bank Debenture 2088,55.19,868.00,870.00,868.00,870.00,869.60,125.00,868.00,"108,700.00",2,2.0,2.0,0.23,0.23,0.05,-,-,"1,000.00",834.30,2023-01-03
25,CBLD88,10.25% Civil Bank Debenture 2088,52.57,887.40,887.40,887.40,887.40,887.40,10.00,870.00,"8,874.00",1,17.4,0.0,2.0,0.0,0.0,-,-,"1,000.00",834.30,2023-01-05
26,CBLD88,10.25% Civil Bank Debenture 2088,53.77,885.00,885.00,885.00,885.00,885.00,40.00,887.40,"35,400.00",1,-2.40,0.00,-0.27,0.0,0.0,-,-,"1,000.00",834.30,2023-01-08
23,CBLD88,10.25% Civil Bank Debenture 2088,54.65,900.00,900.00,900.00,900.00,900.00,15.00,885.00,"13,500.00",1,15.0,0.0,1.69,0.0,0.0,-,-,"1,000.00",834.30,2023-01-09
24,CBLD88,10.25% Civil Bank Debenture 2088,53.98,882.00,882.00,882.00,882.00,882.00,25.00,900.00,"22,050.00",1,-18.0,0.0,-2.0,0.0,0.0,0.00,0.00,"1,000.00",834.30,2023-01-18
25,CBLD88,10.25% Civil Bank Debenture 2088,47.53,879.90,882.00,879.90,882.00,881.35,240.00,882.00,"211,525.00",4,0.0,2.1,0.0,0.24,0.07,0.00,0.00,"1,000.00",834.30,2023-01-24
25,CBLD88,10.25% Civil Bank Debenture 2088,44.83,864.40,864.50,864.40,864.50,864.45,50.00,882.00,"43,222.50",2,-17.5,0.1,-1.98,0.01,0.01,0.00,0.00,"1,000.00",834.30,2023-02-02
25,CBLD88,10.25% Civil Bank Debenture 2088,33.21,847.30,847.30,847.30,847.30,847.30,25.00,864.50,"21,182.50",1,-17.2,0.0,-1.99,0.0,0.0,0.00,0.00,"1,000.00",834.30,2023-02-05
24,CBLD88,10.25% Civil Bank Debenture 2088,40.97,850.00,850.00,850.00,850.00,850.00,25.00,850.00,"21,250.00",1,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"1,000.00",834.30,2023-02-07
25,CBLD88,10.25% Civil Bank Debenture 2088,33.4,833.00,833.00,833.00,833.00,833.00,45.00,833.10,"37,485.00",2,-0.1,0.0,-0.01,0.0,0.0,0.00,0.00,"1,000.00",833.00,2023-02-12
25,CBLD88,10.25% Civil Bank Debenture 2088,35.35,825.60,840.00,825.60,840.00,833.91,135.00,833.00,"112,578.00",4,7.00,14.4,0.84,1.74,0.72,0.00,0.00,"1,000.00",825.60,2023-02-14
26,CBLD88,10.25% Civil Bank Debenture 2088,37.65,830.00,830.00,826.40,826.40,828.00,45.00,829.10,"37,260.00",2,-2.7,3.6,-0.33,0.44,-0.19,0.00,0.00,"1,000.00",825.60,2023-02-22
24,CBLD88,10.25% Civil Bank Debenture 2088,38.37,819.30,819.30,816.00,816.20,817.50,845.00,826.40,"690,790.50",14,-10.2,3.3,-1.23,0.4,-0.16,0.00,0.00,"1,000.00",816.00,2023-02-23
24,CBLD88,10.25% Civil Bank Debenture 2088,31.07,826.00,826.00,826.00,826.00,826.00,30.00,816.20,"24,780.00",1,9.8,0.0,1.2,0.0,0.0,0.00,0.00,"1,000.00",816.00,2023-02-26
23,CBLD88,10.25% Civil Bank Debenture 2088,44.68,829.00,829.00,829.00,829.00,829.00,155.00,813.00,"128,495.00",1,16.0,0.0,1.97,0.0,0.0,0.00,0.00,"1,000.00",813.00,2023-02-28
