SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
98,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,26.31,208.20,212.00,208.20,209.80,209.91,"3,135.00",212.00,"658,081.00",175,-2.2,3.8,-1.04,1.83,-0.05,226.78,254.81,505.00,100.00,2022-12-07
98,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,26.31,208.20,212.00,208.20,209.80,209.91,"3,135.00",212.00,"658,081.00",175,-2.2,3.8,-1.04,1.83,-0.05,226.78,254.81,505.00,100.00,2022-12-09
101,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,27.72,205.70,209.00,205.70,206.20,206.60,"5,779.00",209.80,"1,193,940.00",211,-3.6,3.3,-1.72,1.6,-0.19,-,-,505.00,100.00,2022-12-11
100,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,29.61,205.00,212.90,203.40,208.20,207.40,"11,835.00",206.20,"2,454,559.60",238,2.0,9.5,0.97,4.67,0.39,226.35,252.66,505.00,100.00,2022-12-12
99,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,34.74,205.00,210.20,204.30,210.20,208.64,"3,965.00",208.20,"827,239.90",179,2.0,5.9,0.96,2.89,0.74,226.29,251.65,505.00,100.00,2022-12-13
100,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,28.01,206.30,220.30,206.30,216.00,215.06,"17,368.00",210.20,"3,735,132.90",328,5.8,14.0,2.76,6.79,0.44,226.33,250.60,505.00,100.00,2022-12-14
104,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,45.61,212.20,217.00,212.00,216.00,215.54,"13,537.00",216.00,"2,917,756.60",288,0.0,5.0,0.0,2.36,0.21,226.32,249.58,505.00,100.00,2022-12-15
101,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,47.22,212.00,218.00,210.00,211.70,212.98,"13,492.00",216.00,"2,873,505.60",263,-4.3,8.0,-1.99,3.81,-0.6,226.28,248.56,505.00,100.00,2022-12-18
102,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,40.77,210.00,216.20,209.10,213.00,213.06,"9,588.00",211.70,"2,042,802.90",261,1.3,7.1,0.61,3.4,-0.03,226.39,247.58,505.00,100.00,2022-12-19
103,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,40.77,209.00,218.30,209.00,213.00,214.98,"9,638.00",213.00,"2,071,938.00",256,0.0,9.3,0.0,4.45,-0.93,226.47,246.66,505.00,100.00,2022-12-20
102,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,32.49,209.50,219.00,209.10,217.40,215.36,"9,623.00",213.00,"2,072,423.80",285,4.4,9.9,2.07,4.73,0.94,226.48,245.80,505.00,100.00,2022-12-21
100,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,39.52,213.30,214.80,211.00,212.10,212.36,"13,700.00",217.40,"2,909,289.50",177,-5.3,3.8,-2.44,1.8,-0.12,226.47,244.94,505.00,100.00,2022-12-22
100,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,43.96,215.00,228.00,213.00,223.00,219.77,"22,067.00",212.10,"4,849,753.10",371,10.9,15.0,5.14,7.04,1.45,226.61,244.07,505.00,100.00,2022-12-26
105,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,50.25,227.40,242.00,221.00,238.00,232.55,"42,096.00",223.00,"9,789,501.60",499,15.0,21.00,6.73,9.5,2.29,226.83,243.33,505.00,112.20,2022-12-27
103,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,54.83,242.70,243.00,233.20,238.90,238.73,"34,519.00",238.00,"8,240,853.30",389,0.9,9.8,0.38,4.2,0.07,226.93,242.62,505.00,119.30,2022-12-28
105,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,54.83,238.50,254.00,234.30,252.00,246.99,"27,365.00",238.90,"6,759,013.00",423,13.1,19.7,5.48,8.41,1.99,227.13,242.02,505.00,135.70,2022-12-29
106,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,55.19,247.00,260.80,243.00,250.10,253.26,"43,900.00",252.00,"11,118,139.30",523,-1.9,17.80,-0.75,7.33,-1.26,227.14,241.47,505.00,144.60,2023-01-01
100,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,55.19,246.00,259.00,243.00,255.00,253.07,"31,187.00",250.10,"7,892,641.40",458,4.9,16.0,1.96,6.58,0.76,227.22,241.02,505.00,144.60,2023-01-02
102,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,48.41,260.00,264.00,250.00,254.00,256.22,"34,556.00",255.00,"8,853,969.30",449,-1.0,14.0,-0.39,5.6,-0.87,227.35,240.52,505.00,164.20,2023-01-03
103,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,52.47,250.00,262.00,246.10,260.00,256.61,"33,926.00",254.00,"8,705,750.70",551,6.0,15.9,2.36,6.46,1.3,227.54,240.14,505.00,180.60,2023-01-04
102,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,54.36,257.00,273.00,250.00,273.00,259.07,"40,315.00",260.00,"10,444,513.50",558,13.0,23.0,5.0,9.2,5.1,227.84,239.89,505.00,193.30,2023-01-05
105,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,55.56,270.00,280.90,257.00,270.00,271.52,"42,982.00",273.00,"11,670,664.30",615,-3.00,23.90,-1.1,9.3,-0.56,-,-,505.00,193.30,2023-01-08
102,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,58.4,264.60,290.70,264.60,286.00,281.91,"79,652.00",270.00,"22,454,497.20",726,16.0,26.1,5.93,9.86,1.43,228.73,239.51,505.00,193.30,2023-01-09
100,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,56.37,286.20,310.00,271.00,285.00,295.66,"126,553.00",286.00,"37,416,955.60","1,007",-1.0,39.0,-0.35,14.39,-3.74,229.27,239.47,505.00,193.30,2023-01-10
103,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,56.39,285.00,306.70,285.00,306.70,297.05,"161,894.00",285.00,"48,090,961.40","1,358",21.7,21.7,7.61,7.61,3.15,229.88,239.54,505.00,193.30,2023-01-12
99,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,56.18,305.00,331.00,298.90,322.00,320.04,"117,824.00",306.70,"37,708,510.80","1,317",15.3,32.1,4.99,10.74,0.61,230.63,239.72,505.00,193.30,2023-01-17
100,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,56.7,325.00,340.00,319.00,324.60,328.24,"139,494.00",322.00,"45,787,675.10","1,042",2.6,21.0,0.81,6.58,-1.12,231.39,239.91,505.00,193.30,2023-01-18
98,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,54.39,321.00,340.00,315.00,340.00,329.83,"108,010.00",324.60,"35,625,322.70","1,164",15.4,25.0,4.74,7.94,2.99,232.28,240.05,505.00,193.30,2023-01-19
102,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,51.61,333.20,338.60,319.00,322.00,326.87,"76,165.00",340.00,"24,896,248.60","1,008",-18.0,19.6,-5.29,6.14,-1.51,233.02,240.14,488.00,193.30,2023-01-23
102,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,46.41,316.00,324.00,310.10,318.00,315.78,"51,895.00",322.00,"16,387,614.20",834,-4.0,13.9,-1.24,4.48,0.7,233.70,240.24,479.00,193.30,2023-01-24
101,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,44.36,312.30,333.40,312.30,329.80,327.74,"60,166.00",318.00,"19,718,536.50",948,11.8,21.1,3.71,6.76,0.63,234.49,240.39,479.00,193.30,2023-01-25
99,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,47.18,335.00,336.00,324.00,324.00,329.89,"60,891.00",329.80,"20,087,112.40",740,-5.8,12.0,-1.76,3.7,-1.82,235.27,240.54,479.00,193.30,2023-01-26
103,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,43.37,320.00,332.00,315.10,326.00,328.35,"56,892.00",324.00,"18,680,639.40",957,2.0,16.9,0.62,5.36,-0.72,236.09,240.74,479.00,193.30,2023-01-29
102,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,44.44,325.00,328.00,316.10,317.70,319.81,"57,531.00",326.00,"18,399,078.20",782,-8.3,11.9,-2.55,3.76,-0.66,236.78,240.92,479.00,193.30,2023-01-30
103,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,42.46,312.20,321.00,307.00,307.00,313.83,"57,462.00",317.70,"18,033,291.50",870,-10.7,14.0,-3.37,4.56,-2.22,237.23,241.11,479.00,193.30,2023-01-31
99,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,36.94,304.00,315.10,304.00,307.90,307.96,"41,155.00",307.00,"12,674,149.70",697,0.9,11.1,0.29,3.65,-0.02,237.72,241.29,467.00,193.30,2023-02-01
101,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,37.73,304.00,314.00,302.00,303.90,305.68,"26,220.00",307.90,"8,014,811.10",600,-4.0,12.0,-1.3,3.97,-0.58,238.14,241.41,467.00,193.30,2023-02-02
105,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,35.5,300.00,318.20,295.00,307.10,310.11,"46,493.00",303.90,"14,417,922.00",759,3.2,23.2,1.05,7.86,-0.98,238.42,241.48,467.00,193.30,2023-02-05
106,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,35.42,309.00,326.00,307.10,325.00,319.59,"69,914.00",310.10,"22,343,832.80",953,14.9,18.9,4.8,6.15,1.66,239.18,241.53,467.00,193.30,2023-02-07
104,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,48.55,315.00,328.10,315.00,327.00,323.95,"33,213.00",321.00,"10,759,425.30",550,6.0,13.1,1.87,4.16,0.93,240.00,241.87,465.90,193.30,2023-02-09
100,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,38.31,320.50,323.00,312.20,314.00,316.54,"44,827.00",327.00,"14,189,374.60",524,-13.0,10.8,-3.98,3.46,-0.81,240.25,242.02,465.90,193.30,2023-02-12
104,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,29.92,310.00,314.90,306.00,309.00,308.79,"32,534.00",314.00,"10,046,090.00",524,-5.00,8.9,-1.59,2.91,0.07,240.53,242.16,465.90,193.30,2023-02-14
102,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,31.71,301.90,310.00,301.90,308.50,305.99,"28,568.00",308.00,"8,741,480.10",430,0.50,8.10,0.16,2.68,0.81,241.24,242.40,465.90,193.30,2023-02-16
102,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,32.83,308.50,308.50,303.00,306.00,304.69,"26,946.00",308.50,"8,210,043.50",520,-2.5,5.5,-0.81,1.82,0.43,241.56,242.52,465.90,193.30,2023-02-20
109,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,44.69,305.00,318.00,302.20,315.00,312.59,"21,232.00",306.00,"6,636,831.50",626,9.0,15.8,2.94,5.23,0.77,242.09,242.67,465.90,193.30,2023-02-22
104,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,39.26,310.00,314.10,304.10,309.00,309.51,"21,695.00",315.00,"6,714,821.30",462,-6.0,10.0,-1.9,3.29,-0.17,242.60,242.81,465.90,193.30,2023-02-23
103,MBJC,Madhya Bhotekoshi Jalavidyut Company Limited,44.2,302.90,311.10,291.00,311.10,304.91,"21,878.00",309.00,"6,670,755.00",538,2.1,20.1,0.68,6.91,1.99,243.17,242.99,453.00,193.30,2023-02-26
