SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
232,TPC,Terhathum Power Company Limited,31.8,340.00,340.00,324.50,329.00,329.96,108.00,335.90,"35,636.00",10,-6.9,15.5,-2.05,4.78,-0.29,407.86,442.32,825.00,310.20,2022-12-07
232,TPC,Terhathum Power Company Limited,31.8,340.00,340.00,324.50,329.00,329.96,108.00,335.90,"35,636.00",10,-6.9,15.5,-2.05,4.78,-0.29,407.86,442.32,825.00,310.20,2022-12-09
238,TPC,Terhathum Power Company Limited,33.21,322.50,325.00,318.00,320.50,319.84,390.00,329.00,"124,739.00",20,-8.5,7.0,-2.58,2.2,0.2,-,-,825.00,310.20,2022-12-11
231,TPC,Terhathum Power Company Limited,26.68,320.00,330.90,317.00,330.90,319.60,"1,789.00",320.50,"571,756.70",27,10.4,13.9,3.24,4.38,3.42,405.69,438.52,825.00,310.20,2022-12-12
235,TPC,Terhathum Power Company Limited,30.73,331.00,331.00,318.00,320.00,322.29,"2,001.00",330.90,"644,912.00",30,-10.9,13.0,-3.29,4.09,-0.72,404.44,436.67,825.00,310.20,2022-12-13
232,TPC,Terhathum Power Company Limited,27.72,318.00,325.00,318.00,318.00,318.86,880.00,320.00,"280,596.00",22,-2.0,7.0,-0.63,2.2,-0.27,403.58,434.84,825.00,310.20,2022-12-14
240,TPC,Terhathum Power Company Limited,20.86,318.00,329.40,315.00,315.20,317.11,"1,864.00",318.00,"591,085.50",42,-2.8,14.4,-0.88,4.57,-0.6,402.79,432.95,825.00,310.20,2022-12-15
237,TPC,Terhathum Power Company Limited,26.26,311.00,314.90,309.00,310.10,310.71,"1,770.00",315.20,"549,964.50",33,-5.1,5.9,-1.62,1.91,-0.2,401.85,431.11,825.00,309.00,2022-12-18
237,TPC,Terhathum Power Company Limited,28.69,303.90,312.60,303.90,312.10,311.52,"1,097.00",310.10,"341,734.90",18,2.0,8.7,0.64,2.86,0.19,401.16,429.31,825.00,303.90,2022-12-19
243,TPC,Terhathum Power Company Limited,28.69,312.00,326.40,312.00,317.10,322.78,"1,320.00",312.10,"426,067.50",30,5.0,14.4,1.6,4.62,-1.79,400.35,427.61,825.00,303.90,2022-12-20
238,TPC,Terhathum Power Company Limited,40.49,311.20,338.30,311.20,322.10,327.97,"4,006.00",317.10,"1,313,843.40",46,5.0,27.1,1.58,8.71,-1.82,399.40,426.07,825.00,303.90,2022-12-21
233,TPC,Terhathum Power Company Limited,48.76,315.70,322.00,310.00,318.00,315.33,"3,005.00",322.10,"947,574.00",31,-4.1,12.0,-1.27,3.87,0.84,398.67,424.52,825.00,303.90,2022-12-22
237,TPC,Terhathum Power Company Limited,47.71,313.90,335.00,313.90,335.00,330.20,"6,552.00",318.00,"2,163,496.20",64,17.0,21.1,5.35,6.72,1.43,398.03,423.09,825.00,303.90,2022-12-26
247,TPC,Terhathum Power Company Limited,51.91,340.00,368.50,333.20,368.00,351.39,"10,741.00",335.00,"3,774,269.00",146,33.0,35.30,9.85,10.59,4.51,397.67,421.64,825.00,303.90,2022-12-27
243,TPC,Terhathum Power Company Limited,55.3,360.70,396.70,347.20,389.60,371.19,"16,416.00",368.00,"6,093,382.50",161,21.6,49.5,5.87,14.26,4.73,397.43,420.41,825.00,303.90,2022-12-28
243,TPC,Terhathum Power Company Limited,55.3,381.90,407.00,375.00,406.90,388.77,"17,581.00",389.60,"6,834,878.20",121,17.3,32.0,4.44,8.53,4.46,397.29,419.32,825.00,303.90,2022-12-29
247,TPC,Terhathum Power Company Limited,53.85,400.00,420.00,396.00,403.90,408.87,"13,626.00",406.90,"5,571,246.00",121,-3.0,24.00,-0.74,6.06,-1.23,396.83,418.24,825.00,303.90,2023-01-01
240,TPC,Terhathum Power Company Limited,53.85,411.90,411.90,380.10,394.00,397.29,"11,653.00",403.90,"4,629,628.50",96,-9.9,31.8,-2.45,8.37,-0.84,396.44,417.23,825.00,303.90,2023-01-02
243,TPC,Terhathum Power Company Limited,49.03,400.00,424.40,382.00,385.50,390.27,"14,377.00",394.00,"5,610,867.70",129,-8.5,42.4,-2.16,11.1,-1.24,395.98,416.22,825.00,303.90,2023-01-03
244,TPC,Terhathum Power Company Limited,44.82,380.00,421.00,378.00,421.00,407.51,"19,300.00",385.50,"7,865,016.60",155,35.5,43.0,9.21,11.38,3.2,395.53,415.40,825.00,303.90,2023-01-04
245,TPC,Terhathum Power Company Limited,49.87,415.10,424.30,405.00,413.00,412.90,"13,804.00",421.00,"5,699,643.70",108,-8.0,19.3,-1.9,4.77,0.02,395.10,414.62,825.00,303.90,2023-01-05
245,TPC,Terhathum Power Company Limited,51.07,406.00,435.00,406.00,415.20,420.45,"21,343.00",413.00,"8,973,647.50",130,2.20,29.00,0.53,7.14,-1.26,-,-,825.00,303.90,2023-01-08
243,TPC,Terhathum Power Company Limited,54.19,420.00,427.00,413.00,423.00,423.38,"13,216.00",415.20,"5,595,432.50",114,7.8,14.0,1.88,3.39,-0.09,394.81,413.42,825.00,303.90,2023-01-09
240,TPC,Terhathum Power Company Limited,48.19,421.20,465.00,413.00,413.10,438.61,"17,697.00",423.00,"7,762,146.90",192,-9.9,52.0,-2.34,12.59,-6.18,394.79,412.87,825.00,303.90,2023-01-10
238,TPC,Terhathum Power Company Limited,48.22,417.00,433.40,402.10,405.00,417.30,"10,976.00",413.10,"4,580,259.60",144,-8.1,31.3,-1.96,7.78,-3.04,394.61,412.34,825.00,303.90,2023-01-12
236,TPC,Terhathum Power Company Limited,46.11,406.00,438.00,397.00,425.00,426.70,"15,718.00",405.00,"6,706,912.80",126,20.0,41.0,4.94,10.33,-0.4,394.60,411.89,825.00,303.90,2023-01-17
234,TPC,Terhathum Power Company Limited,50.67,418.00,442.00,418.00,423.00,431.61,"10,220.00",425.00,"4,411,042.50",125,-2.0,24.0,-0.47,5.74,-2.04,394.58,411.61,825.00,303.90,2023-01-18
233,TPC,Terhathum Power Company Limited,46.56,415.10,440.00,415.10,431.00,430.60,"2,550.00",423.00,"1,098,027.50",66,8.0,24.9,1.89,6.0,0.09,394.58,411.40,825.00,303.90,2023-01-19
243,TPC,Terhathum Power Company Limited,42.35,423.40,429.90,416.00,416.00,421.00,"3,720.00",431.00,"1,566,111.00",80,-15.0,13.9,-3.48,3.34,-1.2,394.48,410.91,825.00,303.90,2023-01-23
235,TPC,Terhathum Power Company Limited,41.1,410.00,415.00,409.10,410.30,411.19,"3,370.00",416.00,"1,385,701.50",65,-5.7,5.9,-1.37,1.44,-0.22,394.24,410.48,825.00,303.90,2023-01-24
247,TPC,Terhathum Power Company Limited,37.78,411.00,440.00,411.00,430.00,421.93,"4,612.00",410.30,"1,945,943.80",80,19.7,29.0,4.8,7.06,1.88,394.22,410.20,825.00,303.90,2023-01-25
