SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
212,SIGS2,Siddhartha Investment Growth Scheme-2,30.98,8.06,8.06,8.06,8.06,8.06,"8,000.00",7.92,"64,480.00",2,0.14,0.0,1.77,0.0,0.0,9.04,9.62,12.19,7.59,2022-12-07
212,SIGS2,Siddhartha Investment Growth Scheme-2,30.98,8.06,8.06,8.06,8.06,8.06,"8,000.00",7.92,"64,480.00",2,0.14,0.0,1.77,0.0,0.0,9.04,9.62,12.19,7.59,2022-12-09
215,SIGS2,Siddhartha Investment Growth Scheme-2,32.39,8.10,8.10,8.10,8.10,8.10,278.00,8.06,"2,251.80",1,0.04,0.0,0.5,0.0,0.0,-,-,12.19,7.59,2022-12-11
211,SIGS2,Siddhartha Investment Growth Scheme-2,32.9,8.10,8.10,7.94,8.00,8.02,"11,700.00",8.10,"93,864.00",3,-0.1,0.16,-1.23,2.02,-0.28,8.99,9.59,12.19,7.59,2022-12-12
214,SIGS2,Siddhartha Investment Growth Scheme-2,42.47,7.85,8.00,7.85,7.99,7.99,"3,200.00",8.00,"25,555.00",4,-0.01,0.15,-0.12,1.91,0.05,8.97,9.57,12.19,7.59,2022-12-13
219,SIGS2,Siddhartha Investment Growth Scheme-2,41.04,7.85,7.99,7.85,7.99,7.86,"2,100.00",7.99,"16,499.00",4,0.0,0.14,0.0,1.78,1.67,8.95,9.55,12.19,7.59,2022-12-15
215,SIGS2,Siddhartha Investment Growth Scheme-2,32.57,7.90,8.00,7.90,8.00,7.94,"2,522.00",7.99,"20,023.80",2,0.01,0.1,0.13,1.27,0.75,8.94,9.53,12.19,7.59,2022-12-18
215,SIGS2,Siddhartha Investment Growth Scheme-2,34.39,8.00,8.00,8.00,8.00,8.00,360.00,8.00,"2,880.00",1,0.0,0.0,0.0,0.0,0.0,8.92,9.52,12.19,7.59,2022-12-19
221,SIGS2,Siddhartha Investment Growth Scheme-2,34.39,8.10,8.10,7.84,7.98,7.85,"37,416.00",8.00,"293,892.20",6,-0.02,0.26,-0.25,3.32,1.57,8.90,9.50,12.19,7.59,2022-12-20
216,SIGS2,Siddhartha Investment Growth Scheme-2,43.94,7.83,7.83,7.83,7.83,7.83,"17,100.00",7.98,"133,893.00",3,-0.15,0.0,-1.88,0.0,0.0,8.88,9.49,12.19,7.59,2022-12-21
211,SIGS2,Siddhartha Investment Growth Scheme-2,33.01,7.97,7.97,7.97,7.97,7.97,100.00,7.83,797.00,1,0.14,0.0,1.79,0.0,0.0,8.86,9.47,12.19,7.59,2022-12-22
215,SIGS2,Siddhartha Investment Growth Scheme-2,23.82,8.10,8.10,7.79,7.80,7.85,"15,200.00",7.97,"119,289.00",5,-0.17,0.31,-2.13,3.98,-0.61,8.84,9.46,12.19,7.59,2022-12-26
225,SIGS2,Siddhartha Investment Growth Scheme-2,32.74,7.90,8.42,7.90,8.42,8.07,"41,957.00",7.80,"338,531.14",20,0.62,0.52,7.95,6.58,4.17,8.83,9.44,12.19,7.59,2022-12-27
221,SIGS2,Siddhartha Investment Growth Scheme-2,55.3,8.26,8.29,8.20,8.25,8.22,"66,000.00",8.42,"542,192.00",10,-0.17,0.09,-2.02,1.1,0.42,8.81,9.43,12.19,7.59,2022-12-29
225,SIGS2,Siddhartha Investment Growth Scheme-2,50.76,8.41,8.41,8.25,8.26,8.31,"13,500.00",8.25,"112,185.00",6,0.01,0.16,0.12,1.94,-0.61,8.80,9.41,12.19,7.59,2023-01-01
217,SIGS2,Siddhartha Investment Growth Scheme-2,50.76,8.26,8.40,8.26,8.40,8.35,"1,500.00",8.26,"12,530.85",4,0.14,0.14,1.69,1.69,0.55,8.79,9.40,12.19,7.59,2023-01-02
221,SIGS2,Siddhartha Investment Growth Scheme-2,50.23,8.25,8.52,8.25,8.52,8.34,300.00,8.40,"2,502.00",2,0.12,0.27,1.43,3.27,2.11,8.78,9.39,12.19,7.59,2023-01-03
