SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
24,CCBD88,10.50% Century Debenture 2088,41.78,840.10,843.00,840.10,841.10,841.90,125.00,850.00,"105,237.50",5,-8.9,2.9,-1.05,0.35,-0.1,-,-,"1,000.00",837.00,2022-12-11
24,CCBD88,10.50% Century Debenture 2088,39.38,841.10,841.10,841.10,841.10,841.10,25.00,841.10,"21,027.50",1,0.0,0.0,0.0,0.0,0.0,-,-,"1,000.00",837.00,2022-12-18
24,CCBD88,10.50% Century Debenture 2088,37.5,857.90,857.90,842.70,842.70,847.80,75.00,841.10,"63,585.10",3,1.6,15.2,0.19,1.8,-0.61,-,-,"1,000.00",837.00,2022-12-20
26,CCBD88,10.50% Century Debenture 2088,31.55,843.00,843.00,843.00,843.00,843.00,25.00,842.70,"21,075.00",1,0.3,0.0,0.04,0.0,0.0,-,-,"1,000.00",837.00,2022-12-21
25,CCBD88,10.50% Century Debenture 2088,30.32,838.70,838.70,838.60,838.60,838.67,30.00,843.00,"25,160.00",2,-4.4,0.10,-0.52,0.01,-0.01,-,-,"1,000.00",837.00,2022-12-27
27,CCBD88,10.50% Century Debenture 2088,40.93,837.60,837.60,837.60,837.60,837.60,25.00,838.60,"20,940.00",1,-1.0,0.00,-0.12,0.0,0.0,-,-,"1,000.00",837.00,2023-01-01
25,CCBD88,10.50% Century Debenture 2088,40.93,854.30,854.30,854.30,854.30,854.30,25.00,837.60,"21,357.50",1,16.7,0.0,1.99,0.0,0.0,-,-,"1,000.00",837.00,2023-01-02
26,CCBD88,10.50% Century Debenture 2088,52.44,845.30,845.30,845.20,845.20,845.25,50.00,854.30,"42,262.50",2,-9.1,0.1,-1.07,0.01,-0.01,-,-,"1,000.00",837.00,2023-01-04
27,CCBD88,10.50% Century Debenture 2088,58.97,845.80,867.00,845.60,867.00,853.18,185.00,845.20,"157,837.90",6,21.80,21.40,2.58,2.53,1.59,-,-,"1,000.00",837.00,2023-01-08
24,CCBD88,10.50% Century Debenture 2088,57.88,884.30,884.30,884.30,884.30,884.30,30.00,867.00,"26,529.00",1,17.3,0.0,2.0,0.0,0.0,-,-,"1,000.00",837.00,2023-01-09
25,CCBD88,10.50% Century Debenture 2088,57.21,866.70,866.70,849.40,866.30,859.17,175.00,884.30,"150,355.00",7,-18.0,17.3,-2.04,2.04,0.82,0.00,0.00,"1,000.00",837.00,2023-01-18
25,CCBD88,10.50% Century Debenture 2088,64.55,849.00,849.00,849.00,849.00,849.00,125.00,866.30,"106,125.00",2,-17.3,0.0,-2.0,0.0,0.0,0.00,0.00,"1,000.00",837.00,2023-01-19
26,CCBD88,10.50% Century Debenture 2088,60.36,846.10,846.20,846.10,846.20,846.14,25.00,849.00,"21,153.50",2,-2.8,0.1,-0.33,0.01,0.01,0.00,0.00,"1,000.00",837.00,2023-01-23
26,CCBD88,10.50% Century Debenture 2088,38.4,845.00,845.00,845.00,845.00,845.00,25.00,846.20,"21,125.00",1,-1.2,0.0,-0.14,0.0,0.0,0.00,0.00,"1,000.00",837.00,2023-01-24
24,CCBD88,10.50% Century Debenture 2088,38.83,845.00,845.00,845.00,845.00,845.00,25.00,845.00,"21,125.00",1,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"1,000.00",837.00,2023-01-25
26,CCBD88,10.50% Century Debenture 2088,39.17,840.10,845.00,840.10,845.00,841.73,75.00,845.00,"63,130.00",3,0.0,4.9,0.0,0.58,0.39,0.00,0.00,"1,000.00",837.00,2023-01-29
26,CCBD88,10.50% Century Debenture 2088,42.59,845.00,845.00,845.00,845.00,845.00,25.00,845.00,"21,125.00",1,0.0,0.0,0.0,0.0,0.0,0.00,0.00,"1,000.00",837.00,2023-01-30
27,CCBD88,10.50% Century Debenture 2088,45.78,850.00,850.00,850.00,850.00,850.00,25.00,845.00,"21,250.00",1,5.0,0.0,0.59,0.0,0.0,0.00,0.00,"1,000.00",837.00,2023-02-05
28,CCBD88,10.50% Century Debenture 2088,34.82,861.90,861.90,844.70,844.70,853.30,50.00,845.00,"42,665.00",2,-0.3,17.2,-0.04,2.04,-1.02,0.00,0.00,"1,000.00",837.00,2023-02-22
25,CCBD88,10.50% Century Debenture 2088,25.42,838.00,838.00,838.00,838.00,838.00,25.00,844.70,"20,950.00",1,-6.7,0.0,-0.79,0.0,0.0,0.00,0.00,"1,000.00",837.00,2023-02-23
25,CCBD88,10.50% Century Debenture 2088,27.9,825.10,825.10,825.10,825.10,825.10,30.00,838.00,"24,753.00",2,-12.9,0.0,-1.54,0.0,0.0,0.00,0.00,"1,000.00",825.10,2023-02-26
24,CCBD88,10.50% Century Debenture 2088,26.78,819.10,819.10,819.10,819.10,819.10,25.00,820.00,"20,477.50",1,-0.90,0.00,-0.11,0.0,0.0,0.00,0.00,"1,000.00",816.00,2023-03-01
23,CCBD88,10.50% Century Debenture 2088,21.5,835.40,835.40,835.40,835.40,835.40,10.00,819.10,"8,354.00",1,16.30,0.0,1.99,0.0,0.0,0.00,0.00,"1,000.00",816.00,2023-03-15
