SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
97,LUK,Laxmi Unnati Kosh,37.77,7.95,7.95,7.95,7.95,7.95,100.00,7.88,795.00,1,0.07,0.0,0.89,0.0,0.0,8.67,9.13,10.80,7.52,2022-12-07
97,LUK,Laxmi Unnati Kosh,37.77,7.95,7.95,7.95,7.95,7.95,100.00,7.88,795.00,1,0.07,0.0,0.89,0.0,0.0,8.67,9.13,10.80,7.52,2022-12-09
100,LUK,Laxmi Unnati Kosh,39.18,7.81,7.81,7.66,7.70,7.77,"8,000.00",7.95,"62,144.00",12,-0.25,0.15,-3.14,1.96,-0.88,-,-,10.80,7.52,2022-12-11
99,LUK,Laxmi Unnati Kosh,31.56,7.85,7.85,7.85,7.85,7.85,"4,000.00",7.70,"31,400.00",3,0.15,0.0,1.95,0.0,0.0,8.64,9.10,10.80,7.52,2022-12-12
98,LUK,Laxmi Unnati Kosh,38.94,7.85,7.85,7.70,7.85,7.71,"4,600.00",7.85,"35,465.00",4,0.0,0.15,0.0,1.95,1.79,8.63,9.09,10.80,7.52,2022-12-13
99,LUK,Laxmi Unnati Kosh,35.2,8.00,8.00,7.86,7.86,7.87,"4,482.00",7.85,"35,266.52",4,0.01,0.14,0.13,1.78,-0.11,8.62,9.07,10.80,7.52,2022-12-14
103,LUK,Laxmi Unnati Kosh,32.68,7.86,7.90,7.63,7.78,7.69,"58,975.00",7.86,"453,677.83",11,-0.08,0.27,-1.02,3.54,1.12,8.61,9.06,10.80,7.52,2022-12-15
100,LUK,Laxmi Unnati Kosh,50.45,7.66,7.66,7.66,7.66,7.66,100.00,7.78,766.00,1,-0.12,0.0,-1.54,0.0,0.0,8.60,9.04,10.80,7.52,2022-12-18
101,LUK,Laxmi Unnati Kosh,26.97,7.66,7.81,7.66,7.79,7.76,"1,500.00",7.66,"11,644.00",3,0.13,0.15,1.7,1.96,0.35,8.58,9.03,10.80,7.52,2022-12-19
102,LUK,Laxmi Unnati Kosh,26.97,7.79,7.85,7.79,7.85,7.79,"2,575.00",7.79,"20,071.25",3,0.06,0.06,0.77,0.77,0.7,8.57,9.02,10.80,7.52,2022-12-20
