SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
33,CORBL,Corporate Development Bank Limited,20.93,275.00,275.00,270.00,274.00,272.61,863.00,275.00,"235,264.00",20,-1.0,5.0,-0.36,1.85,0.51,292.30,343.12,994.00,211.30,2022-12-07
33,CORBL,Corporate Development Bank Limited,20.93,275.00,275.00,270.00,274.00,272.61,863.00,275.00,"235,264.00",20,-1.0,5.0,-0.36,1.85,0.51,292.30,343.12,994.00,211.30,2022-12-09
34,CORBL,Corporate Development Bank Limited,22.34,274.00,274.00,265.00,270.00,268.53,"1,956.00",274.00,"525,240.40",26,-4.0,9.0,-1.46,3.4,0.55,-,-,994.00,211.30,2022-12-11
34,CORBL,Corporate Development Bank Limited,25.09,269.00,276.00,266.00,271.10,271.94,"1,503.00",270.00,"408,732.00",23,1.1,10.0,0.41,3.76,-0.31,292.08,339.82,994.00,211.30,2022-12-12
35,CORBL,Corporate Development Bank Limited,24.43,272.00,275.40,267.10,270.00,271.83,582.00,271.10,"158,203.00",14,-1.1,8.3,-0.41,3.11,-0.68,292.17,338.23,994.00,211.30,2022-12-13
35,CORBL,Corporate Development Bank Limited,25.73,270.00,277.00,270.00,277.00,272.34,837.00,270.00,"227,946.00",21,7.0,7.0,2.59,2.59,1.68,292.48,336.70,994.00,211.30,2022-12-14
34,CORBL,Corporate Development Bank Limited,32.68,278.00,278.00,273.00,276.00,274.62,"1,555.00",277.00,"427,034.00",17,-1.0,5.0,-0.36,1.83,0.5,292.68,335.17,994.00,211.30,2022-12-15
35,CORBL,Corporate Development Bank Limited,43.33,270.70,276.10,265.30,265.30,267.56,"1,177.00",276.00,"314,920.90",23,-10.7,10.8,-3.88,4.07,-0.85,292.89,333.62,994.00,211.30,2022-12-18
35,CORBL,Corporate Development Bank Limited,42.63,266.00,270.20,262.50,270.20,264.56,"4,125.00",265.30,"1,091,323.00",35,4.9,7.7,1.85,2.93,2.09,293.26,332.13,994.00,211.30,2022-12-19
35,CORBL,Corporate Development Bank Limited,42.63,274.80,274.80,265.00,265.00,265.66,"1,550.00",270.20,"411,780.20",23,-5.2,9.8,-1.92,3.7,-0.25,293.58,330.75,994.00,211.30,2022-12-20
36,CORBL,Corporate Development Bank Limited,31.54,265.00,268.00,259.70,262.00,263.61,"3,621.00",265.00,"954,534.60",33,-3.0,8.3,-1.13,3.2,-0.61,293.68,329.35,994.00,211.30,2022-12-21
34,CORBL,Corporate Development Bank Limited,33.41,263.00,263.00,258.00,258.00,260.91,"1,963.00",262.00,"512,169.00",22,-4.0,5.0,-1.53,1.94,-1.13,293.75,327.89,994.00,211.30,2022-12-22
32,CORBL,Corporate Development Bank Limited,34.08,263.00,275.00,263.00,274.00,268.89,"4,080.00",258.00,"1,097,091.00",31,16.0,12.0,6.2,4.56,1.86,294.02,326.52,994.00,211.30,2022-12-26
35,CORBL,Corporate Development Bank Limited,49.62,279.30,297.00,279.30,293.00,291.57,"11,381.00",274.00,"3,318,333.70",120,19.0,17.70,6.93,6.34,0.49,294.38,325.31,994.00,211.30,2022-12-27
36,CORBL,Corporate Development Bank Limited,51.73,295.00,297.00,283.00,293.00,292.66,"4,359.00",293.00,"1,275,721.30",60,0.0,14.0,0.0,4.95,0.11,294.53,324.16,994.00,211.30,2022-12-28
36,CORBL,Corporate Development Bank Limited,51.73,291.00,305.00,290.00,304.00,296.27,"5,914.00",293.00,"1,752,160.20",62,11.0,15.0,3.75,5.17,2.54,294.66,323.17,994.00,211.30,2022-12-29
38,CORBL,Corporate Development Bank Limited,55.96,310.00,317.00,300.00,307.00,308.93,"10,315.00",304.00,"3,186,630.20",90,3.0,17.00,0.99,5.67,-0.63,294.60,322.25,994.00,211.30,2023-01-01
36,CORBL,Corporate Development Bank Limited,55.96,307.20,310.00,296.00,306.00,304.46,"5,332.00",307.00,"1,623,374.90",67,-1.0,14.0,-0.33,4.73,0.5,294.49,321.34,994.00,211.30,2023-01-02
37,CORBL,Corporate Development Bank Limited,53.9,304.00,307.00,297.30,297.30,302.32,"7,755.00",306.00,"2,344,470.60",59,-8.7,9.7,-2.84,3.26,-1.69,294.30,320.35,994.00,211.30,2023-01-03
37,CORBL,Corporate Development Bank Limited,53.01,297.00,316.00,297.00,316.00,308.93,"15,418.00",297.30,"4,763,069.30",101,18.7,19.0,6.29,6.4,2.24,294.30,319.53,994.00,211.30,2023-01-04
36,CORBL,Corporate Development Bank Limited,56.06,322.00,331.00,317.00,322.00,324.11,"17,779.00",316.00,"5,762,324.90",133,6.0,14.0,1.9,4.42,-0.65,294.37,318.86,994.00,211.30,2023-01-05
38,CORBL,Corporate Development Bank Limited,57.26,328.00,339.60,327.00,329.30,333.53,"20,244.00",322.00,"6,752,030.60",157,7.30,12.60,2.27,3.85,-1.29,-,-,994.00,211.30,2023-01-08
35,CORBL,Corporate Development Bank Limited,58.71,334.90,344.90,330.00,344.90,338.00,"11,658.00",329.30,"3,940,442.30",102,15.6,14.9,4.74,4.52,2.0,295.19,317.54,994.00,211.30,2023-01-09
34,CORBL,Corporate Development Bank Limited,57.65,351.70,360.00,324.00,330.00,342.45,"19,442.00",344.90,"6,657,890.90",159,-14.9,36.0,-4.32,11.11,-3.77,295.65,316.88,673.00,211.30,2023-01-10
34,CORBL,Corporate Development Bank Limited,57.67,336.60,343.00,315.00,317.00,329.69,"15,160.00",330.00,"4,998,104.90",120,-13.0,28.0,-3.94,8.89,-4.0,295.77,316.11,673.00,211.30,2023-01-12
35,CORBL,Corporate Development Bank Limited,51.04,320.00,342.50,316.00,339.00,328.03,"12,935.00",317.00,"4,243,093.80",115,22.0,26.5,6.94,8.39,3.24,295.99,315.52,673.00,211.30,2023-01-17
35,CORBL,Corporate Development Bank Limited,54.85,339.00,358.00,332.00,338.00,343.84,"12,464.00",339.00,"4,285,580.40",100,-1.0,26.0,-0.29,7.83,-1.73,296.21,314.92,659.90,211.30,2023-01-18
35,CORBL,Corporate Development Bank Limited,51.23,340.00,347.00,335.00,344.70,342.80,"13,343.00",338.00,"4,574,027.10",82,6.7,12.0,1.98,3.58,0.55,296.53,314.12,659.80,211.30,2023-01-19
36,CORBL,Corporate Development Bank Limited,53.42,345.50,345.50,331.80,331.90,336.89,"7,552.00",344.70,"2,544,229.50",61,-12.8,13.7,-3.71,4.13,-1.5,296.69,313.21,655.00,211.30,2023-01-23
36,CORBL,Corporate Development Bank Limited,50.9,330.00,334.50,310.00,319.00,321.26,"12,300.00",331.90,"3,951,456.70",99,-12.9,24.5,-3.89,7.9,-0.71,296.73,312.31,638.00,211.30,2023-01-24
34,CORBL,Corporate Development Bank Limited,45.72,325.30,339.00,322.00,328.20,330.51,"5,260.00",319.00,"1,738,505.50",50,9.2,17.0,2.88,5.28,-0.71,296.85,311.46,638.00,211.30,2023-01-25
33,CORBL,Corporate Development Bank Limited,45.56,334.60,340.00,323.00,331.00,328.71,"4,089.00",328.20,"1,344,096.10",47,2.8,17.0,0.85,5.26,0.69,297.00,310.66,638.00,211.30,2023-01-26
36,CORBL,Corporate Development Bank Limited,42.98,326.00,333.30,320.00,323.00,325.98,"5,052.00",331.00,"1,646,855.00",42,-8.0,13.3,-2.42,4.16,-0.92,297.13,309.91,638.00,211.30,2023-01-29
36,CORBL,Corporate Development Bank Limited,43.06,318.10,325.00,311.00,311.00,316.20,"5,758.00",323.00,"1,820,684.50",69,-12.0,14.0,-3.72,4.5,-1.67,296.98,309.17,638.00,211.30,2023-01-30
33,CORBL,Corporate Development Bank Limited,40.56,305.00,319.20,301.00,315.00,310.34,"8,439.00",311.00,"2,618,998.30",62,4.0,18.2,1.29,6.05,1.48,296.70,308.51,626.00,211.30,2023-01-31
33,CORBL,Corporate Development Bank Limited,42.02,320.00,320.00,309.20,317.50,316.11,"4,159.00",315.00,"1,314,707.00",32,2.5,10.8,0.79,3.49,0.44,296.54,307.85,622.00,211.30,2023-02-01
35,CORBL,Corporate Development Bank Limited,40.0,323.00,323.50,307.00,308.00,313.06,"7,157.00",317.50,"2,240,554.70",58,-9.5,16.5,-2.99,5.37,-1.64,296.25,307.11,620.00,211.30,2023-02-02
37,CORBL,Corporate Development Bank Limited,36.81,303.40,319.00,303.40,314.00,313.23,"2,906.00",308.00,"910,258.00",28,6.0,15.6,1.95,5.14,0.24,296.03,306.35,618.00,211.30,2023-02-05
34,CORBL,Corporate Development Bank Limited,36.15,317.20,330.00,315.60,328.00,323.93,"7,794.00",311.00,"2,524,696.40",79,17.0,14.4,5.47,4.56,1.24,295.43,304.60,618.00,211.30,2023-02-07
34,CORBL,Corporate Development Bank Limited,62.90,337.00,341.00,330.30,340.00,336.81,"13,571.00",332.00,"4,570,877.40",95,8.0,10.7,2.41,3.24,0.94,295.15,303.18,618.00,211.30,2023-02-09
35,CORBL,Corporate Development Bank Limited,54.29,333.20,338.00,323.40,330.00,330.64,"18,142.00",340.00,"5,998,488.40",90,-10.0,14.6,-2.94,4.51,-0.19,294.96,302.43,618.00,211.30,2023-02-12
35,CORBL,Corporate Development Bank Limited,51.33,335.00,341.00,329.10,331.20,333.74,"11,552.00",330.00,"3,855,377.20",82,1.20,11.9,0.36,3.62,-0.77,294.83,301.68,618.00,211.30,2023-02-14
35,CORBL,Corporate Development Bank Limited,33.73,340.00,342.10,330.00,332.00,336.33,"5,655.00",345.00,"1,901,956.00",43,-13.00,12.10,-3.77,3.67,-1.3,294.98,300.49,618.00,211.30,2023-02-16
34,CORBL,Corporate Development Bank Limited,36.77,338.00,338.00,326.00,326.00,331.73,"6,805.00",332.00,"2,257,442.20",70,-6.0,12.0,-1.81,3.68,-1.76,294.97,300.13,618.00,211.30,2023-02-20
38,CORBL,Corporate Development Bank Limited,34.93,316.60,326.00,316.50,326.00,318.58,"1,917.00",310.48,"610,716.50",35,15.52,9.5,5.0,3.0,2.28,295.05,299.79,618.00,211.30,2023-02-22
35,CORBL,Corporate Development Bank Limited,26.45,319.50,324.00,310.00,320.50,314.83,"5,483.00",326.00,"1,726,206.50",40,-5.5,14.0,-1.69,4.52,1.77,295.11,299.43,618.00,211.30,2023-02-23
35,CORBL,Corporate Development Bank Limited,39.71,318.00,319.00,300.00,319.00,309.27,"10,241.00",320.50,"3,167,279.40",73,-1.5,19.0,-0.47,6.33,3.05,295.19,299.17,600.20,211.30,2023-02-26
33,CORBL,Corporate Development Bank Limited,27.11,310.30,320.00,310.20,314.00,314.72,"4,821.00",316.50,"1,517,276.00",47,-2.5,9.8,-0.79,3.16,-0.23,295.14,298.79,600.20,211.30,2023-02-28
34,CORBL,Corporate Development Bank Limited,28.67,312.00,312.00,301.80,309.00,305.61,"6,145.00",314.00,"1,877,981.40",43,-5.00,10.20,-1.59,3.38,1.1,295.05,298.62,600.20,211.30,2023-03-01
34,CORBL,Corporate Development Bank Limited,25.08,305.10,309.00,300.00,307.00,302.39,"5,400.00",309.00,"1,632,924.50",53,-2.0,9.0,-0.65,3.0,1.5,294.95,298.46,600.20,211.30,2023-03-02
35,CORBL,Corporate Development Bank Limited,25.92,302.00,302.00,294.90,297.00,298.08,"4,447.00",307.00,"1,325,569.40",56,-10.0,7.1,-3.26,2.41,-0.36,294.66,298.28,600.20,211.30,2023-03-05
33,CORBL,Corporate Development Bank Limited,25.93,302.00,308.00,300.00,303.90,302.96,"4,517.00",297.00,"1,368,452.20",34,6.9,8.0,2.32,2.67,0.31,294.56,298.16,600.20,211.30,2023-03-07
33,CORBL,Corporate Development Bank Limited,41.62,309.90,315.90,303.00,314.00,310.43,"2,564.00",303.90,"795,945.50",35,10.1,12.9,3.32,4.26,1.14,294.53,298.06,600.20,211.30,2023-03-09
33,CORBL,Corporate Development Bank Limited,37.5,315.00,315.00,305.00,309.50,310.19,"1,631.00",314.00,"505,922.00",25,-4.5,10.0,-1.43,3.28,-0.22,294.49,297.95,600.20,211.30,2023-03-12
34,CORBL,Corporate Development Bank Limited,41.28,304.00,315.00,298.10,311.10,307.50,"2,722.00",304.00,"837,025.00",26,7.1,16.9,2.34,5.67,1.16,294.36,297.90,600.20,211.30,2023-03-14
