SN,Symbol,Name,Conf,Open,High,Low,Close,VWAP,Vol,Prev Close,Turnover,Trans,Diff,Range,Diff Percent,Range Percent,VWAP%,120 days,180 days,52 weeks high,52 weeks low,Date
49,GBBD85,8.75% Garima Debenture 2085,40.11,817.40,817.40,801.10,801.10,806.53,75.00,834.00,"60,490.00",2,-32.9,16.3,-3.94,2.03,-0.68,-,-,"1,000.00",722.50,2022-12-20
49,GBBD85,8.75% Garima Debenture 2085,29.28,817.00,822.00,800.80,822.00,816.64,625.00,801.10,"510,400.00",6,20.9,21.2,2.61,2.65,0.65,-,-,"1,000.00",722.50,2022-12-21
47,GBBD85,8.75% Garima Debenture 2085,39.45,806.00,838.00,790.00,838.00,816.67,60.00,822.00,"49,000.00",4,16.0,48.0,1.95,6.08,2.55,-,-,"1,000.00",722.50,2022-12-22
45,GBBD85,8.75% Garima Debenture 2085,33.7,825.00,845.00,808.60,845.00,827.80,125.00,838.00,"103,475.00",6,7.0,36.4,0.84,4.5,2.04,-,-,"1,000.00",722.50,2022-12-26
49,GBBD85,8.75% Garima Debenture 2085,35.34,830.00,830.00,830.00,830.00,830.00,25.00,845.00,"20,750.00",1,-15.0,0.00,-1.78,0.0,0.0,-,-,"1,000.00",722.50,2022-12-27
50,GBBD85,8.75% Garima Debenture 2085,37.55,830.00,830.00,830.00,830.00,830.00,70.00,830.00,"58,100.00",2,0.0,0.0,0.0,0.0,0.0,-,-,"1,000.00",722.50,2022-12-28
50,GBBD85,8.75% Garima Debenture 2085,37.55,830.00,830.00,830.00,830.00,830.00,50.00,830.00,"41,500.00",2,0.0,0.0,0.0,0.0,0.0,-,-,"1,000.00",722.50,2022-12-29
52,GBBD85,8.75% Garima Debenture 2085,37.16,815.00,830.00,798.70,830.00,814.18,300.00,830.00,"244,252.50",7,0.0,31.30,0.0,3.92,1.91,-,-,"1,000.00",722.50,2023-01-01
49,GBBD85,8.75% Garima Debenture 2085,37.16,830.00,847.00,830.00,847.00,843.94,175.00,830.00,"147,690.00",5,17.0,17.0,2.05,2.05,0.36,-,-,"1,000.00",722.50,2023-01-02
50,GBBD85,8.75% Garima Debenture 2085,44.18,844.00,847.00,835.00,835.00,843.83,150.00,847.00,"126,575.00",6,-12.0,12.0,-1.42,1.44,-1.06,-,-,"1,000.00",722.50,2023-01-03
51,GBBD85,8.75% Garima Debenture 2085,44.14,820.00,840.00,820.00,840.00,827.40,150.00,835.00,"124,110.00",6,5.0,20.0,0.6,2.44,1.5,-,-,"1,000.00",722.50,2023-01-04
49,GBBD85,8.75% Garima Debenture 2085,41.95,825.00,825.00,825.00,825.00,825.00,75.00,840.00,"61,875.00",3,-15.0,0.0,-1.79,0.0,0.0,-,-,"1,000.00",722.50,2023-01-05
52,GBBD85,8.75% Garima Debenture 2085,43.15,815.00,815.00,795.10,800.00,801.25,195.00,825.00,"156,244.00",5,-25.00,19.90,-3.03,2.5,-0.16,-,-,"1,000.00",722.50,2023-01-08
49,GBBD85,8.75% Garima Debenture 2085,43.19,795.00,827.00,795.00,827.00,817.39,100.00,800.00,"81,739.00",4,27.0,32.0,3.38,4.03,1.16,-,-,"1,000.00",722.50,2023-01-09
